,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR_netgen
497,57380,5474,99905,95197,90308,84557,89361,77326,78974,87197,78477,10,-2.64672313
950,61155,,,,,,,65813,78830,95098,78868,4,0.016065751
230,56594,84738,89405,96450,91293,93773,96783,58006,33227,89203,79117,10,-1.349136895
499,57386,94361,85999,87662,88187,89030,84738,79411,77409,85849,80511,10,-0.730009582
790,59071,,,,76495,91593,88296,76961,76086,81048,80723,7,-2.083510456
296,56792,176473,138481,143635,149764,158762,147796,149655,141037,115298,80932,10,-5.793445509
982,61746,,,,,,,20616,77395,77512,81680,4,1.812462455
970,61584,,,,,,,1572,77355,71389,82460,4,2.153122613
981,61745,,,,,,,19382,79726,81278,82659,4,1.211545647
512,57432,124028,118750,122815,119740,129426,131215,115436,110679,86066,83457,10,-3.842975325
651,58035,,,,,6313,104351,117362,117792,120229,84208,6,-4.198712113
97,56092,138286,129436,142024,127947,137680,122855,112402,96513,84448,85288,10,-4.529253952
901,60486,,,,,15971,82203,79995,82561,89848,85334,6,0.750425092
134,56297,152324,140893,147864,155945,146775,159284,142699,152207,132071,86899,10,-5.227879969
633,57980,19581,91329,96637,82087,95452,89947,93615,90567,91428,87415,10,-0.485500713
157,56369,87566,94308,97984,90934,90562,96763,97027,89458,94503,87926,10,-0.775537844
109,56162,172428,185115,194809,192618,176314,162168,166509,127261,122079,87965,10,-7.934593025
94,56054,100863,100982,108104,99133,97310,82592,85526,82378,93433,88113,10,-1.503277382
459,57268,96666,104419,111301,102089,106340,103231,87357,86293,99032,88177,10,-1.860971529
386,57045,94472,84938,93096,93930,98369,91243,75347,80025,88303,89246,10,0.551236226
211,56536,129330,120611,128913,103678,114889,119210,103828,102162,89797.41,89884,10,-3.214430893
241,56621,306298,308396,310018,280617,289642,274423,269646,241080,187319,90966,10,-12.68565594
84,55986,138972,166780,145439,89049,111319,156421,146483,130642,133768,91219,10,-6.484764728
290,56782,90956,93175,96542,89144,100119,93502,85815,94948,98541,92522,10,-0.078113823
940,61039,,,,,,5577,89116,103027,104111,93411,5,1.183706492
647,58019,2953,89198,97746,80914,99294,86357,96497,92795,92624.75,93650,10,0.542642679
298,56794,183766,152722,159342,163551,174652,170658,164653,149932,129066,93953,10,-5.254943081
795,59147,,,,10806,91215,104028,108781,97514,90454.57,94521,7,0.595141887
394,57083,16626,106923,117098,115845,110643,106827,107475,115172,101392,94669,10,-1.343365789
36,50821,28670,44089,35493,27245,36900,34238,62516,52089,97991,94836,10,8.883063377
300,56796,84095,108348,118260,111839,109193,115339,108415,102726,108090,95853,10,-1.35224612
448,57239,116618,118570,111798,101378,99398,108468,109095,100476,103898,95967,10,-2.322592994
212,56537,134179,124668,127169,109482,115741,115775,106037,101415,83069.74,96097,10,-2.850755763
640,57996,3206,83970,79754,87734,84144,74012,89025,86650,91182,97532,10,1.677480277
64,55739,102840,89157,99604,84165,96898,90669,98535,74241,106205,97873,10,1.04174274
43,54793,275556,216668,196897,203276,222302,214578,192916,189892,207288,98349,10,-8.401970623
270,56700,95998,108803,110650,107942,108137,109531,107892,96072,107711,99499,10,-0.988320512
720,58608,,,,47556,98307,98574,94915,100141,95953,100022,7,0.288664613
188,56446,97965,102827,91212,102998,94980,86416,98294,87875,85267,102214,10,-0.066414711
192,56450,183205,153373,146651,183624,198797,220858,195181,202278,187761,102214,10,-4.408793892
383,57039,94789,103727,98411,78271,95925,84559,100324,75204,109272,102523,10,-0.129641272
397,57091,128867,131541,132239,111639,129793,123764,123734,119976,125813,102892,10,-2.692409488
113,56195,109373,102602,107566,91035,116764,93507,113681,87601,121150,103619,10,0.109652129
216,56555,142399,133752,132924,123562,121050,125957,114043,118433,85931.73,104601,10,-2.694523542
101,56099,184102,135767,179616,175394,167719,162357,144583,135510,98406,104610,10,-2.855126582
890,60329,,,,,4571,93053,112546,100832,113338,105420,6,2.527065319
498,57385,106029,94423,102380,93859,99185,97373,5936,84674,56508,106070,10,1.300771443
165,56383,208230,201466,217718,209253,204649,194481,174300,158114,139776,106826,10,-6.806390312
65,55740,135098,142833,151233,117679,145855,147623,138698,136244,151174,107328,10,-3.125519514
443,57201,100478,102938,92898,96936,90591,88116,98264,87517,89359,107479,10,0.480803439
96,56081,272563,261998,272342,236371,254212,247587,231372,231100,214503,108140,10,-9.364421742
609,57867,99392,133810,133174,128561,133297,133463,124985,129123,126171,108770,10,-2.275763918
603,57852,4318,100724,108952,111893,111795,111846,108393,111471,113950,109068,10,0.888226392
59,55579,252607,264529,259869,209123,198781,121412,113650,118242,149175,109598,10,-9.326362659
247,56635,136806,122326,132504,131544,125581,124388,111355,121616,123280,110106,10,-1.162589905
191,56449,121218,101510,108980,110677,110484,90327,101594,88849,108503,110297,10,0.926705476
88,56001,141670,163450,153944,143487,149395,140765,137666,128273,131175,111596,10,-4.151602574
91,56011,118425,111220,109662,104409,116855,116575,113364,111678,103235,113452,10,0.22101742
677,58141,6308,97570,108413,114765,121408,112974,105237,107744,106749,114079,10,1.752073197
190,56448,133105,136132,132558,141945,131836,134576,140753,139318,132410,115903,10,-1.771579353
374,56989,107151,139696,136411,151378,141763,124164,116263,119050,126739,116606,10,-1.98740659
246,56634,172095,169541,181942,184354,182377,187133,171356,135139,115826,117446,10,-3.996993887
28,50533,30473,32420,32333,31806,32833,31822,29908,30876,,117697,9,17.52761522
683,58218,,144110,136350,127626,130661,131182,124402,120862,145990,118040,9,-1.786371278
403,57098,112688,107393,117246,104882,112321,123484,110551,118868,111125,118509,10,1.100386918
102,56106,28500,30599,28800,22683,13368,1455,59057,116156,127177,118864,10,16.27398779
496,57379,114097,110934,121525,107261,116380,127022,113527,122910,114148,119130,10,0.79514354
162,56378,111903,114715,103590,97903,108686,76472,112378,111121,118805,120760,10,0.572234524
731,58686,,,,,8199,138190,140856,145792,132561,121569,6,-2.530386152
421,57131,156733,147321,153622,151907,145459,144709,135620,145488,135100,122048,10,-2.069393215
556,57635,141598,149226,147475,132595,142458,119098,139555,123466,105189,122562,10,-2.163420638
536,57568,109917,126557,124221,125865,122120,122428,119888,130108,125018,123100,10,-0.307257732
763,58904,,,,126790,129173,132031,130483,125544,126412.11,123293,7,-0.77347574
621,57947,125783,128267,117766,109380,133289,126435,126569,132292,129086,124325,10,-0.346231723
85,55989,292756,269733,274382,238200,284876,232629,286622,223957,302732,124422,10,-8.238064341
596,57830,50423,173121,163746,165205,188002,182757,162617,166438,149277,124561,10,-3.591638082
424,57139,125222,138700,148828,129457,137512,147258,138776,116444,136798,124987,10,-1.150042484
935,60991,,,,,,53523,134368,132852,137921,125690,5,-1.655241472
144,56320,214495,219096,196705,180449,202556,177458,177387,171157,182052,126529,10,-5.918078056
92,56012,202696,194912,161039,144059,138295,164451,159463,142446,132375,126689,10,-4.674048738
764,58908,,,,148329,144759,147261,138780,144630,143417,127024,7,-2.154685155
164,56380,349694,388053,379362,318460,336352,245186,281431,263119,236181,127214,10,-11.65486241
349,56942,351243,337107,351039,349376,319889,313238,187982,339199,151122,127648,10,-10.22850214
887,60314,,,,,109540,143013,141205,129194,143072,127966,6,-2.19888286
480,57319,121070,114918,126286,103866,123028,118358,119320,109221,144834,128599,10,1.257622445
530,57529,18169,113511,116631,137284,143287,120237,125802,93186,103768,129102,10,1.440307688
1024,62291,,,,,,,3537,139177,141079,129347,4,-2.412027196
597,57832,36199,133104,139290,146754,136570,140206,127364,128351,129927,130700,10,-0.202307936
254,56647,140979,152238,156777,105371,144624,149651,130998,144165,149647,131642,10,-1.602126854
33,50690,125992,121571,111118,114519,110141,110549,120084,118956,121948,132842,10,0.990001721
504,57417,146983,145707,145887,148507,142166,143888,129660,128224,129530,133953,10,-0.93018855
369,56980,134800,150671,158962,147775,143141,153220,153885,148703,148370,134575,10,-1.247453836
465,57285,92142,138758,148962,150024,155711,153305,152266,126487,143791,134868,10,-0.315444606
99,56094,257105,262281,282083,267989,279175,219415,187863,182809,280291,135377,10,-7.084867501
800,59222,,,,,63856,137270,148751,144070,143332,137148,6,-0.01778151
116,56211,133090,114990,125722,109446,114330,97304,141733,150322,145425,139075,10,2.135461349
380,57032,154883,147319,169562,150954,159794,161449,151822,139342,143736,139379,10,-0.613703127
1020,62227,,,,,,,,81590,148388,139857,3,-2.917106131
239,56619,157758,164433,176555,173476,168823,173192,143878,158121,167227,141916,10,-1.622994724
258,56651,143874,140685,160009,136361,145643,150759,152454,148864,158932,142983,10,0.180188739
381,57033,143499,136028,152876,147665,149688,161593,143039,137190,141294,144103,10,0.64280803
423,57137,153678,150135,161908,139389,173247,127380,169208,133022,189617,146035,10,-0.307178021
295,56791,138165,147149,139555,138437,142584,125120,146670,146963,143444,147943,10,0.059811053
375,56990,126677,134228,137138,151886,142815,144229,151117,154962,151915,148200,10,1.106329125
176,56416,167975,159872,163051,169116,170110,170916,158384,163112,169200,148354,10,-0.827360438
72,55795,167769,188196,185401,154791,149046,159298,109129,143604,164168,148633,10,-2.588181574
75,55804,170146,169776,170217,172515,178852,149325,116850,124079,128437,149567,10,-1.398303504
132,56295,134281,148277,139936,126691,142816,118478,155655,156884,143525,150994,10,0.201958716
308,56818,294322,299050,293767,275377,276422,274815,276900,236922,240490,151059,10,-7.307465899
632,57979,13780,114861,179030,192481,166213,167297,160513,158773,168774,151245,10,3.104759796
466,57286,327744,360057,347469,303897,319988,308332,306396,331548,300295,151313,10,-9.182985611
238,56618,167537,176284,186202,174931,175117,171184,146834,167892,175928,151380,10,-1.678018422
49,55287,195964,192947,192596,185884,154290,152092,134257,136692,151264,153814,10,-2.487120349
61,55607,108555,113973,110628,104354,138352,126928,133413,121307,49196,154512,10,3.439037423
578,57755,165921,179589,176624,166501,162132,159474,156238,150704,195468,155137,10,-1.613095861
953,61222,,,,,,10223,181456,170581,164891,155498,5,-3.785978237
297,56793,326293,325519,358037,338720,328729,305877,287870,279753,241682,156218,10,-7.833573794
73,55796,165545,188866,197038,167987,163825,159298,142902,150969,172586,156256,10,-2.084001321
751,58836,,,133525,168631,175427,162701,153680,151130,164780,156380,8,-1.071700967
483,57326,189982,189866,191460,164420,186976,167297,168644,164433,162885,156882,10,-2.097953887
573,57744,48262,172620,181260,172512,183462,170685,168245,155448,173242,157969,10,-0.98064705
467,57287,168878,180041,173689,180225,182013,177107,173219,183854,175920,158767,10,-1.387472235
275,56753,227793,227852,255792,183055,211254,216909,5674,198886,156303,160538,10,-3.816012396
861,59965,,,,,104485,153706,155251,165201,163084,160731,6,0.897815871
264,56669,662973,620652,702923,592928,643314,515150,621206,602534,373198,161425,10,-13.89792333
333,56901,172457,162062,186420,170110,170107,175637,168488,171503,184627,162493,10,0.029514864
461,57278,13114,168717,177965,172882,177227,162148,158696,157326,170020,162638,10,-0.406901934
517,57459,153373,165450,154429,155357,165961,128856,171876,172485,162110,163176,10,-0.153655845
149,56347,188161,181366,176921,193496,177225,173780,163498,176428,184025,164637,10,-1.069506765
352,56947,272757,259818,271773,257511,260004,241463,234821,206759,186966,166612,10,-4.816938087
433,57177,214956,143785,134214,188468,206549,193258,192074,206423,187807,168130,10,1.753172573
78,55816,86967,90300,93546,87892,88330,86939,78079,66379,79296,168608,10,7.184569906
137,56301,178428,154011,183793,142898,174811,172117,171358,163896,185417,168800,10,1.023991202
196,56460,263997,251047,240923,237722,262259,230039,257254,239687,265372,171165,10,-4.16640727
21,10586,168645,162659,176326,152363,173868,167738,151385,153820,147797,171680,10,0.60153862
450,57244,201211,182628,192909,171382,185296,175696,178574,164812,187846,172452,10,-0.635001514
159,56372,238504,238533,249477,206118,238264,229886,215556,217876,194772,172684,10,-3.525727031
638,57991,118876,198720,211196,192313,198012,206443,206538,183138,197222,172711,10,-1.546550834
272,56750,172408,160652,174721,173212,171204,163344,12640,154098,99389,173302,10,0.845725134
242,56622,164040,161047,168556,181862,169679,170903,166050,175386,183644,173526,10,0.832683194
379,57031,175014,169217,180892,174645,182328,186304,177561,165726,173806,174859,10,0.36508727
617,57890,60244,132629,164441,146002,177234,171099,159639,162640,183405,175122,10,3.136254865
335,56904,191750,188488,200475,211398,209629,208469,190821,197103,207008,175292,10,-0.803214516
240,56620,192557,203537,206554,205313,204398,210434,192710,206373,196262,175497,10,-1.633465838
353,56952,167568,169775,172653,134695,152128,140686,170919,189290,195046,177371,10,0.487512864
472,57293,150322,178777,168320,134744,183393,162752,178715,150299,161959,177821,10,-0.059557733
55,55560,402669,361447,367594,319124,381650,311660,383995,322622,436102,179237,10,-7.49745718
476,57300,181773,175372,174598,170193,182563,189723,194413,171616,190267,179659,10,0.26870679
266,56673,170160,208661,233493,209893,209372,194941,131907,202291,179607,180624,10,-1.59047623
62,55719,212098,213164,201736,194716,183827,156253,197485,196597,193742,181140,10,-1.79253514
519,57468,124670,158366,176837,181425,218240,223564,202870,205477,177125,181174,10,1.50622071
168,56392,169603,155192,180425,164838,167626,169490,146839,146919,131509,181891,10,1.779475608
41,54454,178487,182188,185544,180105,187884,163933,184919,182515,184353,183137,10,0.057743172
631,57976,250760,219522,248206,264801,271002,257148,225362,234072,102582,183891,10,-1.948644334
338,56913,167476,135965,157842,137668,150447,150096,129935,151165,201517,183905,10,3.412740072
1028,62445,,,,,,,,24222,179137,184391,3,1.455877483
332,56879,147793,136776,133776,140907,159431,161942,129959,119379,138029,184449,10,3.378351071
337,56912,143538,135757,143101,146910,156668,156314,137862,162703,183993,184602,10,3.473815431
615,57888,30609,202445,211011,213412,209752,208805,193912,198829,203344,185224,10,-0.982941035
336,56905,373156,369087,351602,280498,240852,176099,330784,277995,262624,185273,10,-7.371933591
515,57447,196473,212363,237231,222352,220373,249570,247152,231820,229922,185748,10,-1.476832461
282,56770,203795,212442,222286,212600,216696,211878,217768,199801,201838,190294,10,-1.215867479
152,56357,165805,166693,171190,159780,167726,157768,137842,130402,177564,191167,10,1.53379477
221,56573,171502,152404,185523,170000,175559,172333,147446,146841,177775,191994,10,2.599082431
648,58020,8315,199706,205370,229944,220120,228120,213432,222408,220986,191998,10,-0.436393134
856,59838,,,,,199426,212212,209033,220788,216646,193211,6,-1.858569941
880,60210,,,,,,161739,197743,198020,192419,195342,5,-0.304942584
194,56457,300284,300441,311362,277877,294560,268987,334664,340171,332992,196105,10,-4.629428452
492,57357,205728,233231,233310,184348,214000,215606,212929,219898,230293,196105,10,-1.90799781
193,56451,169760,162302,202479,188143,202849,212986,215962,194116,214046,196306,10,2.136002454
1000,61925,,,,,,,18801,188123,187433,196640,4,1.486900718
405,57107,206775,155246,199197,187583,214357,212006,197100,200272,195113,199311,10,2.815066558
840,59629,,,,,15320,245299,225044,227468,224860,200165,6,-3.985135661
847,59712,,,,,,268153,328354,306204,268675,200366,5,-11.61665598
608,57866,297375,320760,295277,281223,255525,201775,288583,255517,244370,202345,10,-4.990281732
500,57387,204982,205497,228550,216766,217168,226965,213682,198904,207149,202740,10,-0.149965942
682,58209,,234132,255013,228481,238018,240893,220984,165266,204693,203534,9,-2.779168549
877,60143,,,,,32855,194500,209308,206635,216916,203889,6,0.947330336
281,56767,362004,332329,283023,276576,315679,317435,311424,297394,276807,204009,10,-5.277434084
415,57120,188997,195047,203805,182615,198055,193580,177010,163382,204659,204340,10,0.518503132
463,57283,235654,235994,230071,207983,216680,219752,206349,202167,195468,205771,10,-1.511159863
601,57844,10909,219005,221965,251019,257192,224727,306849,302879,235601,206153,10,-0.66970242
958,61330,,,,,,11993,194450,206597,200813,207604,5,1.649896876
274,56752,171517,166925,191636,140488,161155,164766,4326,158608,110374,207903,10,2.469180626
679,58155,,209940,208802,191845,222162,234607,212667,220756,212188,208377,9,-0.02546545
150,56351,413996,490566,476587,461099,408557,310296,377126,373643,371227,208800,10,-9.054450795
283,56771,186150,172757,182605,163470,173901,146565,127865,56931,64821,210675,10,2.229270328
727,58666,,,,18960,203443,218555,208480,218361,214900,210826,7,0.595889757
743,58769,,,35823,209743,258507,236258,235745,232019,243706,212958,8,0.217550462
803,59238,,,51833.71,213570,242014,231478,227328,231729,230121,213770,8,0.01337265
286,56775,410498,403882,413583,362221,402529,387717,306451,301275,279617,213981,10,-6.814841968
377,56994,310521,328702,344791,334728,311843,312966,270862,265376,224678,215117,10,-4.601537319
587,57774,211501,310045,284942,249711,299341,285384,290314,267298,278347,215580,10,-3.957189681
179,56433,281975,273943,283265,122352,141609,256088,285293,257823,260357,215703,10,-2.620796099
331,56878,186473,117549,115290,180530,213407,246616,228443,230912,233507,216319,10,7.011545517
382,57038,280347,232623,269839,239495,268839,271815,228732,244356,257051,216375,10,-0.801284727
457,57261,470229,471675,477621,432303,453831,402025,403569,359807,328958,216478,10,-8.289515064
257,56650,211033,201627,217577,208755,212640,199711,180242,175580,224791,217930,10,0.867681102
68,55747,246104,219693,223914,168091,152680,175949,149851,208256,237991,218740,10,-0.048291751
322,56854,206421,213905,222066,180736,199030,179354,215010,183895,240951,219421,10,0.283292379
410,57112,249120,180188,161358,222262,248764,252547,235645,250044,241687,219655,10,2.225030225
106,56142,267681,222029,220214,222800,232289,228713,211623,201508,227154,222046,10,0.000850711
354,56953,254570,267335,270677,258144,267599,230660,246715,255092,258716,222179,10,-2.034781915
294,56790,210755,226657,228534,196798,206106,183978,206141,192853,224221,223157,10,-0.172765055
252,56644,391311,371034,395352,337000,373704,384474,325833,289949,274550,225094,10,-5.401694591
293,56789,218627,227768,231831,195022,199872,180862,214678,195931,255711,225159,10,-0.127926413
644,58004,138729,222031,236526,240617,215466,207769,214237,233010,235334,225562,10,0.175465471
323,56855,213819,220081,224945,183762,201811,183153,221498,189718,253333,226513,10,0.320586985
793,59084,,,,,195067,306609,288918,283378,262092,227516,6,-5.792515185
334,56902,249119,263290,267810,264159,264773,272083,257253,266649,264657,227891,10,-1.591517603
313,56831,315656,295055,312441,287170,276673,286985,260605,249281,217320,227926,10,-2.827487449
600,57837,12689,258485,255597,202586,250438,230440,244263,203749,206520,228241,10,-1.373103265
977,61673,,,,,,,86252,256397,255805,233519,4,-3.067422526
505,57421,235947,256653,264422,272576,253706,260814,239913,252916,257930,233685,10,-1.036270262
412,57115,257788,183092,170177,238493,266678,246972,243320,271061,259528,233781,10,2.752717368
737,58719,,,185187,265849,260607,169918,251116,255051,254452,235063,8,-1.742846697
649,58021,18988,277994,285595,263211,258207,252315,254873,252964,240072,236002,10,-1.80309342
401,57096,223047,253115,248462,221320,224270,193029,230780,211820,246523,236569,10,-0.748341552
385,57044,248241,258801,269565,261169,262390,267464,263613,232584,262180,236583,10,-0.992380075
47,55208,246339,213709,235602,230792,224577,232962,210211,205402,243159,237212,10,1.166068177
716,58580,,24724,256039,266857,264642,266032,255881,254832,260035,237316,9,-0.944724054
568,57701,229368,228700,210115,219519,200624,196047,220285,197182,205736,238444,10,0.464669376
636,57984,23176,260718,269422,263511,253723,257417,243109,268591,273390,239388,10,-0.943891522
103,56111,511187,501171,498645,408936,461962,365814,358773,390042,330423,240145,10,-7.849303095
773,58979,,,,,,,3561,264640,274660,240181,4,-3.180897247
90,56010,255856,280968,269038,256567,246354,253284,232448,200189,247213,240914,10,-1.69437851
304,56805,245567,253969,273215,275503,250936,263950,235418,242289,260222,241427,10,-0.561142595
355,56956,327052,374521,441710,335826,343443,338761,349442,133022,307722,242128,10,-4.730893224
884,60259,,,,,74999,269177,252682,282137,292235,242742,6,-2.046175896
732,58690,,,,,,43704,169373,265032,268996,243117,5,9.456810015
428,57156,316115,309854,285090,267056,277516,249957,231745,251933,249512,243126,10,-2.658699497
15,7936,258053,224897,244273,211208,245759,212782,237801,196564,267382,243643,10,0.893540894
256,56649,350666,333272,346882,300271,338265,322048,314914,294217,216506,244398,10,-3.387526272
602,57851,8524,232733,236286,249060,243039,253927,249920,251651,256579,244509,10,0.549953884
207,56494,331318,344121,358122,346237,336017,328744,298524,303820,289511,244613,10,-3.721388692
303,56804,430529,425606,413455,388047,414421,403073,407047,403497,400323,245536,10,-5.928865505
661,58088,,10631,272979,286907,265035,241969,289187,274641,281626,245783,9,-1.303256059
550,57621,,,,206533,243489,248107,266019,237336,229825,246855,7,0.229084544
408,57110,266060,254569,272134,286211,263021,280271,248383,274348,241039,247226,10,-0.324683106
210,56506,435884,435449,451608,400175,435777,407254,307512,331771,312158,252307,10,-5.883497889
400,57095,584703,576422,528958,460217,469891,525946,522695,462752,365216,252356,10,-8.76920611
567,57700,246657,245245,234927,247877,236400,228841,241332,236975,225951,252725,10,0.334382595
563,57649,438664,437439,455660,427405,425110,391730,360773,333321,306153,252749,10,-5.912871075
728,58677,,287589,295928,304520,284051,291459,286679,282708,271620,253180,9,-1.931300285
425,57151,198709,226031,283747,276044,274621,279778,279635,230745,278723,253731,10,1.292756918
267,56677,219089,233922,240820,230231.87,211333,216311,206113,236902,246973,254715,10,0.950685539
906,60551,,,,,,,,10356,275299,255122,3,-3.734285519
544,57609,258629,262806,267573,287844,302493,284824,269624,286413,291829,257209,10,-0.238904539
140,56304,413343,394953,402646,305590,397580,402225,407054,403830,405440,257562,10,-4.639019468
993,61858,,,,,,,70093,257527,307316,260107,4,0.332836536
809,59296,,,,,,,100040,314076,285440,260329,4,-6.064604919
843,59654,,,,17440,300832,315874,311642,316986,308979,260511,7,-2.369913859
330,56876,320747,331525,340884,324607,303198,303408,272129,267202,293777,262114,10,-2.576490429
946,61070,,,,,,,,232561,276639,265076,3,-2.112215048
153,56359,211984,229791,222978,201425,209298,177186,191762,193625,202129,265766,10,1.629195904
388,57049,290267.01,284761.62,272897.46,260622.45,284565.6,287367,260131,254813,298845,266107,10,-0.749994794
108,56160,97217,78993,76778,80453,82357,98641,30405,177589,242259,268967,10,14.58384114
426,57152,251988,268243,249521,236025,261218,212274,253242,237407,296299,270055,10,0.074831939
169,56394,417897,395405,425923,363553,308508,386462,367110,335782,312715,271400,10,-4.095087362
299,56795,636724,608004,564882,446547,510071,588153,576536,494618,373760,272207,10,-8.542057266
324,56856,305774,291376,295965,298099,280646,300188,275317,290518,266090,272535,10,-0.739998243
473,57294,243738,283238,269901,220012,293378,263466,284839,311896,256249,274243,10,-0.357946272
623,57962,184391,277666,280834,237350,286428,254831,275149,246957,250637,274372,10,-0.132513265
695,58395,,,249985,222142,276368,248865,261386,246686,214818,276079,8,3.154006201
584,57766,244949.02,226598,263173,218534,255014,231835,346182,247583,258372,276092,10,2.219342556
802,59236,,,,183849,321253,334837,354105,265527,248075,276618,7,-2.462368038
868,60049,,,,8227,282731,283463,306466,287655,262660,278168,7,-0.270810443
717,58587,,46741,329505,322818,312724,312733,296214,315774,303391,278689,9,-2.071922807
146,56335,560207,532394,545294,497693,529086,530465,495517,464318,444567,278944,10,-6.930084609
131,56293,320528,320829,316680,296624,324918,317735,330326,320798,276519,281070,10,-1.459297762
541,57593,21384,310983,324563,302129,312276,289989,294494,277163,253720,282732,10,-1.05262951
670,58111,50201,270399,300267,289684,282278,305001,258238,279842,271499,283161,10,0.513726121
389,57050,286947.54,276187.23,259191.9,258021.72,290304.63,286219,248208,264259,323081,283544,10,0.292519324
796,59187,,,,177114,327112,313372,290804,283638,309749,284425,7,-2.303602781
259,56654,248843,280223,295512,266264,287240,292430,258503,252365,281677,284582,10,0.171655184
885,60262,,,,28533,329366,311676,305643,272698,310015,287331,7,-2.249882869
436,57188,262872,245524,262288,237043,258876,246147,252759,238417,309866,287627,10,1.774106918
734,58692,,,,,25032,307553,282022,287496,299149,288765,6,-1.252771094
326,56858,180193,278267,263519,253803,251119,208977,255567,237193,299644,289851,10,0.454205215
406,57108,382523,376474,393186,339255,365241,371057,362235,363360,354957,290315,10,-2.846290482
774,58981,,,97862,326409,333041,306170,301749,293375,328737,290493,8,-1.651520599
121,56240,390997,374189,385083,324844,349474,361998,353033,358357,330380,290499,10,-2.773705061
262,56665,286665,395629,446681,386074,426025,320025,358807,344066,345339,291567,10,-3.334333434
852,59734,,,,122286,480691,415372,488209,366850,312271,291698,7,-7.987977542
154,56360,190905,206166,215245,188567,202614,155685,201665,98159,316368,293641,10,4.007971846
622,57956,380194,364796,395687,342250,382093,360168,350822,351081,337654,295089,10,-2.328694021
195,56459,560809,525313,574438,549174,561746,531403,493088,464818,425744,295380,10,-6.196702795
263,56666,221156,227228,216762,186746,223899,191917,230513,47965,326832,296244,10,2.990848287
320,56842,292022,294774,271147,261284,284156,237002,277843,267528,363221,296559,10,0.067102791
598,57833,181718,302869,304728,252832,314587,289326,303482,264116,276718,296815,10,-0.224096525
139,56303,572146,547522,567081,509352,507687,466681,450118,383804,348149,298842,10,-6.506325483
167,56391,336215,338730,350944,364816,333469,342453,301738,321615,336621,299631,10,-1.353551671
590,57800,4441,272699,324088,294291,328831,328922,276225,284922,316299,299770,10,1.057181209
494,57374,432662,398170,413882,531386,570660,587113,616358,594584,457251,300445,10,-3.080600153
591,57801,,274477,326727,293756,326999,333816,278525,290829,320752,300931,9,-1.022783099
205,56488,352083,369834,382167,373487,373187,365169,328083,333006,275094,301009,10,-2.261959606
396,57090,339071,337581,331374,293519,332386,311590,308503,323963,328719,301532,10,-1.246930968
409,57111,315441,345300,368215,342669,345516,341250,313415,301950,320370,301705,10,-1.488410742
549,57620,246785,279354,327707,336861,331587,344899,311716,322789,314021,301855,10,0.864459219
876,60132,,,,,19435,246345,316535,301531,323582,303345,6,4.250613111
690,58324,,259186,282452,227249,262620,206549,280087,206147,310808,303659,9,0.909066344
718,58594,,63055,332229,314869,318810,316978,302700,307621,316078,304966,9,-1.064595084
669,58106,24979,306618,374436,296999,277610,348514,244522,332959,360942,305296,10,-0.047998203
458,57262,354796,357033,351424,325667,326429,298469,307033,257405,285474,305518,10,-1.716426614
756,58885,,,19682,388857,374541,367493,340762,336094,320713,306103,8,-3.360660705
312,56829,263419,268986,307567,341546,305447,314860,290300,292592,285848,306127,10,1.447495257
237,56617,751918,667335,749210,737599,735765,692824,645670,563526,487863,308670,10,-8.210183405
899,60470,,,,,28591,323573,312647,311224,295242,309000,6,-0.917435016
422,57135,491570,529709,537021,530591,522333,575917,499260,527269,432529,309392,10,-5.799672165
941,61040,,,,,,12321,290922,309704,338717,309528,5,1.561906379
441,57198,430668,554611,591035,594771,574690,566269,507564,511479,520370,309561,10,-6.273591949
599,57834,18115,363653,365507,288517,346699,319578,339370,275335,276349,312631,10,-1.665710317
228,56592,413620,393195,406486,349128,308250,366144,377206,364320,338513,313783,10,-2.475554075
643,58000,20264,329929,355227,326909,338846,332715,328792,327914,319380,315740,10,-0.487235689
358,56961,369112,455519,467685,389735,412439,424227,398967,396228,390429,316210,10,-3.974747908
539,57586,277352,289909,266025,269955,260264,250578,284463,266434,260826,317603,10,1.018878853
260,56659,296586,250372,304058,343975,347695,342407,331712,337551,338640,318157,10,2.697943524
625,57964,166955,317133,339870,342654,323948,365531,326647,345818,319674,319311,10,0.07607676
998,61911,,,,,,,9579,257012,300749,322091,4,7.813976114
250,56638,516758,489721,512171,422084,464680,473993,485413,469951,403450,323178,10,-4.513126524
612,57875,90414,367355,379766,356603,361493,351791,312508,304932,327779,323577,10,-1.400013763
869,60059,,,,16077,372514,386442,369643,467397,355095,323691,7,-2.314222495
478,57303,400348,445434,446478,393338,427477,407677,418716,415504,382006,324203,10,-3.468199364
553,57628,,,,,,134859,322909,344064,327008,324254,5,0.103969248
781,59021,,,,277265,324822,369433,317298,365549,322378,325287,7,0.023845002
570,57725,,296863,277043,300766,282860,268221,300265,268593,277561,326645,9,2.080104078
692,58363,,342862,332595,293480,286803,296592,348322,327940,338630,326681,9,-0.224015884
506,57424,627768,586819,614452,589209,622243,614322,591156,514318,548614,328131,10,-6.254758375
630,57975,75743,334159,403229,405494,407407,406230,402795,402648,413794,328386,10,-0.193448002
63,55734,289551,70460,138714,293526,240653,175521,254995,206415,210879,328930,10,18.67280431
580,57757,97080,323214,317093,267079,328829,309819,312028,303673,289197,329665,10,0.219822866
