,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR_netgen
311,56826,14482,14178,16097,14700,12726,11868,12205,11398,6424,4643,10,-11.66526236
854,59776,,,3878,5181,4741,5103,4670,4739,4115,4653,8,-1.523784179
17,7966,4982,5314,5465,2741,,1108,4068,4386,5125,4739,9,-1.765945869
849,59725,,,,5403,5230,5732,6069,6342,5804,4764,7,-1.543359999
554,57631,5933,5564.79,5416,5329,4646,5558,4839,5261,4654,4770,10,-1.697788375
432,57176,3638,4458,5051,5126,5321,4965,5207,5270,5179,4849,10,0.938512927
706,58458,,6443,5802,6074,6133,6053,5622,5508,4961,4944,9,-1.980475316
571,57732,5490,5450,6164,5641,5672,5061,4889,4947,5373,5009,10,-0.933166659
944,61066,,,,,,,4268,4532,4320,5030,4,3.536312816
698,58414,,5256,5582,5236,5099,5446,3876,5017,4242,5077,9,-1.178335099
652,58038,6310,6440,6590,6561,6149,5999,5455,5103,5316,5108,10,-2.541811275
765,58927,,5892,5568,5666,5813,5677,5092,5066,5365,5235,9,-0.767899951
58,55576,5267,5082,5483,5530,5379,4324,4355,3893,4697,5305,10,0.47830566
57,55574,5490,5746,6272,5699,5965,5374,4972,4334,4651,5308,10,-0.877117836
965,61443,,,,,,,,4186,5129,5348,3,2.112603617
709,58461,,6145,6090,5745,5890,5662,5445,5618,5650,5472,9,-1.328643333
766,58932,,6448,6702,6499,6280,6452,5962,6015,6168,5510,9,-2.418296157
775,58992,,3688,6580,7260,2208,2927,7377,7252,4298,5520,9,-2.171780794
705,58457,,6264,6119,5959,5682,6217,4704,5590,5733,5532,9,-1.252703405
434,57182,6181,6463,6313,6140,6651,6209,6158,6043,6438,5662,10,-1.459428026
447,57214,4052,6194,7218,6834,6470,4496,6080,5495,6022,5664,10,-0.988974113
974,61644,,,,,,6285,7021,7271,6967,5683,5,-5.148397906
316,56837,29673,27978,28996,25600,28566,28627,23215,19765,18028,5720,10,-16.17033956
89,56002,9900,9794,11593,8027,6980,9354,7704,6877,5808,5762,10,-5.723931869
6,2022,7559,4909,7255,7806,7505,6263,5374,6208,7158,5832,10,1.93277123
317,56838,30226,28908,30508,26781,29856,29265,23749,20826,14107,5887,10,-16.20686421
54,55396,32485,37530,24345,25748,23620,25600,16676,16223,11983,5917,10,-18.55618445
35,50820,15156,,4819,4879.71,7125,6615,7425,6411,7102,5949,9,2.668184014
1011,62109,,,,,,,,5794,6788,6152,3,-4.799934635
3,944,7217,5,6962,6956,6574,6290.15,5890,6240,5855,6159,10,120.4922634
223,56577,7271,7603,8392,7783,4577,6291,6237,5002,5171,6169,10,-2.295532984
1015,62130,,,,,,,6765,6151,7092,6258,4,0.576521358
593,57803,5866,6408,5775,6089,5867,5454,6076,5928,5297,6309,10,-0.172850712
1010,62108,,,,,,,,4954,6395,6347,3,-0.376000078
1008,62106,,,,,,,,6641,6433,6392,3,-0.319178736
924,60865,,,,,8548,7732,6632,9012,8805,6570,6,-3.204603124
1019,62172,,,,,,,6774,7102,6844,6608,4,-2.374533508
1013,62111,,,,,,,,6198,6998,6610,3,-2.811750334
1009,62107,,,,,,,,6147,6747,6651,3,-0.71397611
1012,62110,,,,,,,,6586,7697,6726,3,-6.520218584
120,56226,14233,14433,14262,13086,10892,12075,11214,11231,9259,6757,10,-8.086886335
213,56538,10003,9483,10188,9607,9505,8413,8563,8790,6300.9,6758,10,-3.694188964
474,57296,8364,8695,9601,9155,8760,8069,8258,8077,7691,6803,10,-2.689660626
1014,62112,,,,,,,,5359,7113,6836,3,-1.966474144
930,60911,,,,,3702,7180,6781,7068,5761,6855,6,-0.922143339
829,59448,,,7165,7456,7260,7484,6830,7376,7121,6871,8,-1.160491195
846,59692,,,7532,6999,6771,7154,7424,7677,7368,6906,8,-0.190912997
943,61056,,,,,,4,6310,7232,7767,7053,5,2.822019896
971,61589,,,,,,,2869,6380,10626,7058,4,3.42376059
960,61356,,,,,,,1993,7682,7398,7083,4,-2.669793157
931,60931,,,,,143,7589,7284,7315,7891,7107,6,-1.303818014
723,58630,,28,8790,9192,8523,7219,7422,8724,8110,7135,9,-2.573828246
867,60015,,,,,7114,8356,7473,7863,7682,7400,6,-2.400710147
318,56839,30642,29165,30731,26724,30631,29044,24314,21240,14993,7406,10,-14.12673617
758,58887,,13953,15283,15009,12112,10856,13289.76,8698.14,6252.84,7639.83,9,-8.302100985
366,56974,7682,7817,7499,6582,6129,6127,7915,6379,7618,7640,10,-0.254156985
453,57253,10401,10193,8458,8114,8774,10567,10322,9653,9203,7831,10,-2.886531277
726,58661,,,7834,8322,8990,9235,7996,6315,8627,7988,8,-0.583465405
817,59314,,,,,2867,8416,8165.43,9007,9266,8140,6,-0.664670746
74,55803,17400,21510,8944,15754,16332,17224,17555,7777,8319,8215,10,-10.14300178
1027,62442,,,,,,,3,6026,8319,8258,4,11.07472595
491,57354,9944,10740,11615,11059,10340,9993,10616,9473,9831,8311,10,-2.808638318
315,56836,28631,27341,28661,23746,27776,27557,19054,16623,14946,8508,10,-12.16489583
939,61005,,,,,,1319,9190,9773,9421,8960,5,-0.631639452
594,57813,12018,11826,12794,12346,11648,9041,6458,7659,9958,9161,10,-2.797298706
811,59302,,,,,3454,9508,7475.1,10360,10225,9189,6,-0.680204723
174,56414,10882,1079.1,,10260,10234,8893,9016,8395,9833,9438,9,-89.77907732
671,58113,777,9419,8775.36,7509,9792,8800,9589,8716,9258,9630,10,0.246462108
12,7771,,,10472.22,9445,10692,12350,9306,7568,10066,9736,8,0.434438886
69,55769,18831,20398,20900,19504,19742,20595,18523,18829,16223,10038,10,-7.576076592
875,60128,,,,,10791,11470,10858,11108,11111,10341,6,-2.051041143
627,57968,5861,10957,12038,11195,11563,11418,9411,10057,11272,10548,10,-0.421799615
7,2024,,14865,16249,13682,13682,14847,13205,13144,10805,10736,9,-5.048466526
975,61660,,,,,,,2549,10389,10559,10849,4,1.454657166
420,57130,12802,11083.05,11832,12717,12730,11487,11866,11806,11200,10932,10,-0.152357664
9,7381,12172,12196,10936,12220,12586,11177,12290,12151,12250,10970,10,-1.170251494
1034,62897,,,,,,,,139,10354,11194,3,3.977308411
527,57516,16191,176472,242593,214630,147301.45,919,8605,45697,38767,11614,10,-26.09043125
616,57889,2177,94228,130212,105655,47470.6,,8605,45697,38767,11614,9,-26.07499688
702,58441,,10879,11215,11369,11178,9505,11707,10224,13426,11791,9,0.628018325
490,57351,13996,13467,14671,14267,14365,13351,12074,11536,12287,11823,10,-1.436203021
684,58220,,11014,14721,14668,14628,15008,13080,13271,12936,11879,9,-2.645659032
839,59622,,,,,8430,15235,18151,18671,12871,12415,6,-4.011135755
714,58548,,6327,15808,15201,17115,16561,17105,19048,15544,12431,9,-2.959362171
537,57570,6513,12799.71,14463,13977,13961,13661,12004,12896,13176,12484,10,-0.27711189
1,508,13255,21978,10359,9806,10343,10580,10596,9950,13232,12744,10,-5.875657634
921,60700,,,,,12742,12706,12295,12215,12184,12758,6,0.08171743
359,56967,13165,13494,13209,11564,11626,10267,13533,11293,12562,12806,10,-0.579772032
175,56415,15827,14290.65,,15893,14930,13731,13915,13409,14823,13831,9,-90.33047393
579,57756,15156,11914,16270,12866,14164,,12921,11878,13760,13944,9,-1.909945091
172,56408,18415,5952,6271,6235,5891,23378,20756,15456,13200,14008,10,9.976898505
414,57118,43701,40592,42190,39070,39760,42242,40313,37279,20784,14043,10,-11.12493355
685,58233,372,18559,18506,16806,19170,17614,13714,14587,13636,14179,10,-2.946742974
398,57093,45768,43971,42376,37035,42051,41131,30221,11095,20687,14685,10,-11.47241375
19,10005,23258,24822,24587,27126,,21030,9474,13972,9553,14693,9,-6.232871353
654,58044,108,11332,18414,15193,7084,11784,12039,11188,17666,14787,10,3.001014146
14,7886,20277,19017,17717,16758,16099,16460,15404,15977,17543,14911,10,-2.666407856
477,57302,18737,17779,20072,18470,18632,17192,15862,13972,14560,15032,10,-1.847571696
76,55805,33502,34214,17645,17796,32771,38783,34107,19796,17632,15050,10,-8.721121742
20,10191,14343,13228,13895,12097,15248,14072,14337,14038,13800,15163,10,1.528479732
966,61540,,,,,,14974,15600,16900,15500,15740,5,0.223607849
51,55353,28121,24227,29285,27844,25809,20220,19699,19416,16254,16412,10,-4.234986476
87,55995,21759,,,21053,22225,2851,20220,17518,18667,16500,8,-3.421285169
768,58939,,,3,15887,17782,18232,18253,18220,18227,16781,8,0.785153854
367,56975,17718,17935,17718,15629,16909,14567,18228,14605,16837,17059,10,-0.554857031
521,57474,35940,29972,21957,27101,25159,22565,25892,23379,14164,17245,10,-5.956778607
2,692,17493,17893,10317,14703,8182,18217,17439,15534,16121,18094,10,0.124197246
361,56969,28521,29364,29113,25626,28062,23802,28785,23868,24289,18171,10,-5.193000626
214,56543,27313,26303,29180,27804,27643,25282,23978,22847,18710,18971,10,-3.56567168
346,56934,23923,24827,26647,20562,24506,22110,24869,18646,18993.97,18982,10,-2.938630698
39,54298,28740,26587,22464,20437,28310,25885,26476,25544,27712,19184,10,-3.561109934
364,56972,19838,20098,19926,17304,17759,16048,20724,16444,18876,19285,10,-0.457757039
136,56300,11568,10877,20834,20328,20131,21534,21461,20936,19999,19729,10,6.839754816
588,57775,22626,21497,20542,24468,24935,22299,24455,27489,26573,20704,10,-0.416756618
1018,62161,,,,,,,19597,21419,21227,20717,4,-1.104645463
