,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CACR
0,90,,,,9.783700265979405,9.232943848012209,9.21421223416851,9.103714783136661,8.905179375597948,8.766628716516777,8.843575016305076,7,-1.4328717544792702
1,508,9.515956542583718,9.541015325708573,9.509967519536067,9.319118901048823,9.232054538554202,9.212944579577504,9.10399192899752,8.904926193705615,8.767004748337065,8.844076948117968,10,-0.7295464167982324
2,692,9.515958124510268,9.54085081740383,9.51007139688675,9.31899266720169,9.23190981338403,9.213107731468964,9.104021801319885,8.90505232860128,8.767007350985585,8.843846604839515,10,-0.7298066191940622
3,944,9.516039566799828,9.969403605763942,9.510107741076423,9.318984422144153,9.232146194234161,9.212841059402084,9.103894435730387,8.904859627272153,8.767215514284045,8.843843285676217,10,-0.7298953048332057
4,1172,9.515875640756628,9.540707108646396,9.510500155448057,9.318848576858327,9.23206959678883,9.21266924221406,9.103949149536644,8.905171057943713,8.766525171440412,8.843982586392228,10,-0.7295679366588925
5,1998,9.515920267673609,9.541093610037654,9.510243604407455,9.319427870997078,9.231677648835289,9.213341251653349,9.10401056072299,8.9053706857137,8.767147540088244,8.84400257755326,10,-0.7295920524167387
6,2022,9.515917871586021,9.541286884169105,9.509805298114438,9.319414460098145,9.23204406722847,9.212581749868198,9.103893286042076,8.90498146017345,8.766688799295787,8.843936669027359,10,-0.7296635327558976
7,2024,,9.54084517035924,9.509917086638476,9.318955990512482,9.232001837012715,9.213001963220664,9.104213883552228,8.905070359026949,8.767051766771372,8.844094016287318,9,-0.8390400270840037
8,6304,9.515996015659237,9.540852008638185,9.510096213353723,9.318972111088089,9.232107166351646,9.212502728063404,9.103988025259705,8.90542033539583,8.767519515400414,8.844214000671302,10,-0.7294337613392599
9,7381,9.515846599688176,9.541022464128877,9.509947066582003,9.318946647155872,9.23209309422643,9.212858575558649,9.103981716616895,8.90510359683978,8.767166688966244,8.844002785527572,10,-0.729514967950351
10,7501,9.516085752648271,9.541259919445624,9.509873710612423,9.319185267136104,9.232355419962653,9.21308909878247,9.104544599576622,8.905000427995995,8.767043263656609,8.84413723419652,10,-0.7296135398383807
11,7526,9.516001439439304,9.54099804295556,9.509995886661445,9.31900461154017,9.231997141666609,9.21299497029603,9.103996841987959,8.904997262739672,8.767000759396913,8.843996388728204,10,-0.7296836773909798
12,7771,,,9.510064571119466,9.319022469667742,9.231938955129301,9.213051102667587,9.104262830798488,8.904856789168079,8.76692839883286,8.84385935674351,8,-0.9037328896371211
13,7855,9.51542035155939,9.540981117732183,9.509876067601367,9.318719761045651,9.23255285909993,9.214074973976185,9.104237375044976,8.905223386852079,8.766363253021193,8.8446412280143,10,-0.7283536829468917
14,7886,9.516018223502112,9.540897748680035,9.509962896588359,9.319119937536657,9.231857973428452,9.212945545715547,9.104064500437467,8.90491759927657,8.766990148876308,8.843987133289065,10,-0.7297115752633032
15,7936,9.516007994659759,9.54099914678058,9.509993137691543,9.318998529997002,9.23199564131327,9.213001573850347,9.104003665451012,8.904998427611384,8.767002525640505,8.843999977488794,10,-0.7296864875133258
16,7965,9.516226609043395,9.540930124370325,9.510037579349136,9.318772685430716,9.232418508393318,9.213138426811904,9.104277026841684,8.904641535691228,8.767082761485353,8.844558523686665,10,-0.7292876153894512
17,7966,9.515996478745597,9.541275837265145,9.510059441100985,9.318122310796007,,9.212038038101026,9.103650307334156,8.904976302603222,8.766743615856608,8.844048549973957,9,-0.8103595163595378
18,7974,9.516167226587156,9.541278435015096,9.51032720609809,9.31850587829545,9.232103138885403,9.212336498710027,9.103806627160099,8.905085802665928,8.767090548675837,8.843999420701063,10,-0.7298532205608832
19,10005,9.51615202432083,9.541007361388234,9.510053569047107,9.318962672118882,,9.212851635529697,9.104120854601913,8.904998254968696,8.767089626068614,8.843933229622857,9,-0.8106833696010729
20,10191,9.51606484076749,9.541023979590003,9.509980089024474,9.318696252129266,9.23200266691942,9.212993137679558,9.104113528060436,8.9048975766018,8.766978828072824,8.844049953541242,10,-0.7296896928545404
21,10586,9.51599725382157,9.540976822325943,9.510012701592158,9.319005997994964,9.232010637375716,9.212986796785879,9.10400747398457,8.905016701939216,8.767000230647641,8.844011259738263,10,-0.7296626188792454
22,10597,9.515976310714676,9.540989622968164,9.510028110010873,9.319018243365884,9.232023996169302,9.21296644315602,9.104062474690402,8.90497946495997,8.767052387556982,8.844025050771924,10,-0.7296252912712742
23,10718,9.516034407436475,9.540971383838118,9.509960804130499,9.318984812578336,9.231981951767366,9.213028208551332,9.103939908067442,8.904990250215498,8.767017783521645,8.84402590387265,10,-0.7296849398225724
24,10823,9.515614622880799,9.542244585241358,,9.318072155475713,9.231361918768199,9.211928967674465,9.10593343432499,8.90415808113278,8.767443271479701,8.844924326196208,9,-0.8088259439965828
25,50276,9.51601172060994,9.54117972238602,9.509864683927441,9.31897891036728,9.231671057943394,9.214696407418359,9.107540556879963,8.940716908727163,8.764795021092134,8.83599596894692,10,-0.7386782100615275
26,50281,9.51599663548787,9.54100289712683,9.509996032776401,9.31888710764887,9.232022398091695,9.21299082446961,9.104009519546041,8.904989647314775,8.766987872262717,8.843999528017882,10,-0.729675142211772
27,50532,,9.541038248449299,9.509997686872454,9.318984049935953,9.232023503794045,9.21310192296304,9.103959384025435,8.904952922830986,8.766998894224125,8.844001713052817,9,-0.8393779842391758
28,50533,9.515979103545403,9.540991057500593,9.50996687706378,9.318970587468199,9.232012682484113,9.212985233574981,9.103963198111737,8.905012578345126,,8.844007334729088,9,-0.8103907538063004
29,50535,9.515994582651867,9.53803478733718,9.509930240116544,9.318114687864389,9.23180929234149,9.212963787867567,9.104230531901088,8.904362028009203,8.765693600792407,,9,
30,50536,9.515958560529226,9.541003077538333,9.50998888643022,9.318995558362603,9.232003058865317,9.212989211702649,9.104000228532595,8.904985305683136,8.767015661700329,8.844021777150257,10,-0.7296104488136557
31,50552,9.515989914681311,9.541011438725343,9.509963140886226,9.318969312813136,9.232014454107327,9.212929084282552,9.104000623989412,8.905077110229646,8.767063696826574,8.844011747486144,10,-0.7296544152503137
32,50553,9.515935630517033,9.541031635295516,9.509967465910261,9.318987117366154,9.232033965893086,9.21295395483093,9.104004032790062,8.905084218070014,8.76701222770887,8.844020820220129,10,-0.7295876023287073
33,50690,9.516004304054848,9.540992446150172,9.510015090913273,9.319002315441253,9.231993073995257,9.213010630916779,9.104021047019005,8.90498730951151,8.767000348396001,8.844008498314693,10,-0.7296730732221368
34,50754,9.515982231353279,9.541010096414189,9.509973254199688,9.318923349862391,9.232030241054506,9.212966002829498,9.10399056500527,8.904983719704072,8.767005442015963,8.844007449364549,10,-0.729651224499972
35,50820,9.51604143982498,,9.510398652314075,9.31902863995621,9.232110583075382,9.21278247339969,9.103984265909167,8.904899560112726,8.767269600279894,8.8439854574136,9,-0.8104902118937662
36,50821,9.516007661724014,9.54097854624002,9.510014675010387,9.319126476771324,9.231990702320418,9.21294656894589,9.104000674775378,8.905002111416962,8.766981493082701,8.843993830765093,10,-0.7296930396474277
37,52162,9.51593596836772,9.541067679758216,9.509900061171894,9.318891645340365,9.232052836492036,9.21275081684812,9.103943644705739,8.905123435883755,,8.843985859623334,9,-0.810367557563274
38,52163,9.51613573961498,9.541040020113657,9.51000018326031,9.318881483039473,9.231964283712447,9.21280878922112,9.104129839271131,8.904945167132071,,8.844008436824414,9,-0.8105707890711744
39,54298,9.515954121986566,9.541033588047645,9.509934666557529,9.31888735777376,9.232069495896498,9.213121121499595,9.104046747373427,8.904992928653567,8.76693522195552,8.843976895105804,10,-0.7296561968357151
40,54453,9.515982308323075,9.541043901239114,9.509973755637082,9.31908967082417,9.232138199942133,9.213014706888513,9.103700013057919,8.905009003362434,8.767095277736644,8.843927134748224,10,-0.7297414550188175
41,54454,9.51602755205572,9.541007350957406,9.510002946050937,9.3189915258563,9.231985313341765,9.212993964665875,9.103996111988861,8.904996688911826,8.766995556640046,8.844011353571696,10,-0.7296941204438467
42,54686,9.516004205771187,9.540959538036983,9.51001031436855,9.318908036192832,9.23202479514728,,9.104033895847413,8.905024225573822,8.766952414824864,8.844036784331225,9,-0.8103831273504447
43,54793,9.515995686084002,9.541005424407938,9.510003765590545,9.318992123049775,9.23200487584147,9.21299118378884,9.103993492692274,8.9049940006848,8.766999940331962,8.843993440499652,10,-0.7296809847947894
44,54909,9.516016480930945,9.541041720547252,9.509970781509132,9.31899519675827,9.232008350979362,9.213033335664397,9.104008350940896,8.905024968375299,8.767004452680183,8.844006248255047,10,-0.7296883016483124
45,54979,9.515986293414967,9.540988375791475,9.510007897017788,9.318990379198324,9.231989257768966,9.213038493860067,9.104014932899185,8.904990784331776,8.76702238346973,8.843975727601897,10,-0.7296910684563729
46,55125,9.515996731827594,9.540998201656974,9.510001740113724,9.319019333149603,9.232010398560773,9.212976992865611,9.103975760435818,8.90499666905992,8.766987596084794,8.843981387850272,10,-0.7296956043375102
47,55208,9.515995716250421,9.541003308800873,9.51000078641248,9.319001501654258,9.232000684944442,9.213000344958955,9.103998691807341,8.90499633698139,8.767004868680244,8.843994035469757,10,-0.7296803484339032
48,55265,9.51600236627499,9.540996895082449,9.510006021643195,9.318999772355694,9.23199534182616,9.21299931426021,9.104004640434354,8.904989799681449,8.766999323998627,8.843999015640891,10,-0.729681695656148
49,55287,9.515992538534334,9.540993964129232,9.510007994427601,9.31899431770829,9.23199237382982,9.212996852855241,9.104001244061655,8.90499598421102,8.767011062433284,8.843990768300635,10,-0.7296807007264317
50,55342,9.515986028363875,9.541017198410925,9.510047610368568,9.319108920958898,9.232027987895718,9.213005670768739,9.103960980368594,8.905043321635477,8.767005495920792,8.844032323164765,10,-0.7296272657434821
51,55353,9.515997206815786,9.541033921852359,9.509905931984383,9.319004234272906,9.23201917737503,9.21295253223272,9.103961527083001,8.90499948184038,8.767025533593198,8.844075553022009,10,-0.7295904035499179
52,55354,9.515980133993489,9.541013879480891,9.51003666574957,9.319015098256207,9.231948047647753,9.212949172958744,9.103952816351972,8.90503936598975,8.76700524305326,8.84401539997913,10,-0.7296401123076168
53,55368,9.515806962108273,9.541026407042052,9.510305686582955,9.318991160531143,9.232010097172951,9.213065749912948,9.104319118910743,8.905277521660317,8.76667658523908,8.843465147452424,10,-0.7300771119935878
54,55396,9.516008109594873,9.540977611855128,9.510056109703969,9.318998158383904,9.23183788856076,9.212991966123523,9.104000440607509,8.9050299886329,8.767127880169404,8.843766028564715,10,-0.7299492087191273
55,55560,9.515995955438578,9.540994983575503,9.51000278571768,9.319002137917016,9.231994873135983,9.212992169622824,9.103998586939765,8.904998809400432,8.7669996222145,8.843998305609853,10,-0.7296758048920382
56,55566,9.515782283623066,9.540818722286255,9.509770047662922,9.319093240378994,9.231556966228418,9.212999386983638,9.103713066384197,8.905137268760662,8.767013790653321,8.843582245668417,10,-0.7299199224135577
57,55574,9.515850477769684,9.54069495628576,9.51003557110378,9.319118688747205,9.231743966280499,9.212998153484923,9.103956168355973,8.904953719001014,8.76693312290285,8.843860035173426,10,-0.7296792464791868
58,55576,9.51625356679945,9.540934593899143,9.509899139327485,9.319078196969768,9.231860618488893,9.21299325972509,9.104206855585389,8.904886968679795,8.76661846209473,8.844123867145054,10,-0.7298036030937927
59,55579,9.516007743305897,9.540995130772949,9.509995308118187,9.318998118926219,9.231997025704812,9.213000796452548,9.10400224065122,8.905001488697632,8.766990928519308,8.843990599397506,10,-0.7296967518350184
60,55581,9.515998503384285,9.54099900577494,9.510000356772414,9.31900279980737,9.231999942954552,9.212998243474093,9.103995722040336,8.90499849596148,8.766995848884143,8.8439985154569,10,-0.7296782273491398
61,55607,9.515983069570058,9.541008618272226,9.509998382532336,9.319004915576514,9.23199885995483,9.213014515918232,9.104000594916652,8.904992534614362,8.767006779926776,8.844006742261966,10,-0.7296528926179491
62,55719,9.516001754522335,9.540994566898602,9.510001026932967,9.318969752198857,9.231986476816902,9.212992397727575,9.103997768353558,8.904987428287567,8.767007121832817,8.844008257426658,10,-0.729670683953143
63,55734,9.515994278832423,9.540986991586387,9.509998465775181,9.31900033128393,9.23199534074586,9.21300077865092,9.10399737198794,8.90500216215039,8.76699797661887,8.84400026818037,10,-0.7296718529596458
64,55739,9.515994565175617,9.541000369799173,9.509998629255177,9.319004098189522,9.231991000516679,9.213003984516623,9.1039999265488,8.905016566904784,8.766982710251765,8.84400149640946,10,-0.7296707730338636
65,55740,9.516002963505207,9.540990687229007,9.510010995184876,9.31900016771933,9.23200364688923,9.212986871686551,9.103996332615266,8.90499374034199,8.766988846147626,8.843992143049256,10,-0.7296900328920941
