,plant_id,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CACR_uptime
43,54909,2221.73516,2133.607306,1610.86758,2237.123288,2221.050228,2211.050228,2174.383562,1987.39726,2229.543379,9,0.551297628
44,54979,2253.148688,2507.201166,2124.023324,2036.209913,1599.504373,1071.341108,1898.571429,2141.370262,1768.046647,9,-4.272202405
45,55125,2537.6,2702.48,2493.52,3060.88,2551.08,2701.92,2301.16,3344.96,2746.32,9,0.201351988
46,55208,1993.554104,2197.779851,2152.910448,2094.934701,2173.152985,1960.923507,1916.063433,2268.274254,2212.798507,9,0.085165183
47,55265,2280.811594,2630.115942,2711.207729,2712.038647,2624.743961,1332,570.0698603,4540.868263,4399.820359,9,6.643037469
48,55287,2405.822943,2401.446384,2317.755611,1923.815461,1896.408978,1674.027431,1704.389027,1886.084788,1917.880299,9,-2.771502304
49,55342,2114.411765,2245.784314,1070.098039,1681.078431,1266.666667,671.372549,1234.782609,3506.413043,3693.804348,9,6.417543716
50,55353,2163.125,2614.732143,2486.071429,2304.375,1805.357143,1758.839286,1733.571429,1451.25,1465.357143,9,-6.982527405
51,55354,2526.610169,3086.525424,2791.864407,2783.898305,2673.898305,2236.355932,1915.254237,1952.372881,2599.237288,9,-2.124947335
52,55368,1436.212121,1425.606061,2036.666667,1898.181818,1171.060606,685.4545455,454.6969697,335.3030303,255.4545455,9,-19.33887727
53,55396,2274.545455,1475.454545,1560.484848,1431.515152,1551.515152,1010.666667,983.2121212,726.2424242,358.6060606,9,-16.2062795
54,55560,2043.227812,2077.976258,1803.97965,2157.433578,1761.78632,2170.689655,1823.753533,2465.245902,1013.210854,9,-8.587116894
55,55566,2702.631579,3265.263158,2945.789474,2787.894737,2659.473684,2025.263158,1700.526316,2893.684211,2355.789474,9,-3.998661974
56,55574,3024.210526,3301.052632,2999.473684,3139.473684,2828.421053,2616.842105,2281.052632,2447.894737,2793.684211,9,-2.064395557
57,55576,2674.736842,2885.789474,2910.526316,2831.052632,2275.789474,2292.105263,2048.947368,2472.105263,2792.105263,9,-0.411683059
58,55579,3306.6125,3248.3625,2614.0375,2484.7625,1517.65,1420.625,1478.025,1864.6875,1369.975,9,-10.23004257
59,55581,2219.215827,2383.895683,1843.5,1686.571942,1662.359712,1125.035971,1813.956835,2161.356115,1814.194245,9,-3.356073313
60,55607,2752.971014,2672.173913,2520.628019,3341.835749,3065.89372,3222.536232,2930.120773,1188.309179,3732.173913,9,4.264663065
61,55719,3200.660661,3029.069069,2923.663664,2760.165165,2346.141141,2965.24024,3033.904321,2989.845679,2795.37037,9,-0.998614461
62,55734,629.1071429,1238.517857,2620.767857,2148.6875,1567.151786,2276.741071,1842.991071,1879.491979,2931.639929,9,11.3720066
63,55739,1790.301205,2000.080321,1690.060241,1945.742972,1820.662651,1978.614458,1490.783133,2132.630522,1965.321285,9,-0.218905109
64,55740,2856.66,3024.66,2353.58,2917.1,2952.46,2773.96,2724.88,3023.48,2146.56,9,-4.196073552
65,55741,2623.670034,2570.841751,2176.835017,2684.814815,2395.723906,2281.111111,2175.858586,2414.848485,2049.124579,9,-2.795442566
66,55742,1801.933333,1964.966667,1776.733333,1555.333333,1610.266667,1329.066667,1513.6,1756.966667,1734.6,9,-1.546645202
67,55747,2662.945455,2714.109091,2037.466667,1850.666667,2132.715152,1816.375758,2524.315152,2884.739394,2651.393939,9,-0.291801428
68,55769,1773.73913,1817.391304,1696,1716.695652,1790.869565,1610.695652,1637.304348,1410.695652,872.8695652,9,-8.759509116
69,55782,2870,3371.333333,3140.666667,3004,2961.333333,1621.333333,974.6666667,483.3333333,560.6666667,9,-20.08783805
70,55790,2275.066667,2264.8,2245,2081.7,1481.6,1795.766667,2637.633333,2070.733333,2445.733333,9,0.96536178
71,55795,2412.769231,2376.935897,1984.5,1910.846154,2042.282051,1399.089744,1841.076923,2104.717949,1905.551282,9,-2.725188828
72,55796,2303.243902,2402.902439,2048.621951,1997.865854,1942.658537,1742.707317,1841.085366,2104.707317,1905.560976,9,-2.857150391
73,55803,2390,993.7777778,1750.444444,1814.666667,1913.777778,1950.555556,864.1111111,924.3333333,912.7777778,9,-1.057137172
74,55804,2122.2,2127.7125,2156.4375,2235.65,1866.5625,1460.625,1550.9875,1605.4625,1869.5875,9,-1.603623332
75,55805,2280.933333,1176.333333,1186.4,2184.733333,2585.533333,2273.8,1319.733333,1175.466667,1003.333333,9,-1.968791923
76,55809,2349.333333,2666,2073.333333,2456,2490.666667,2212,1974,2084.666667,2574.666667,9,-0.434791355
77,55816,2150,2227.285714,2092.666667,2103.095238,2069.97619,1859.02381,1580.452381,1888,4014.47619,9,7.64196554
78,55871,2263.387755,2205.346939,2012.530612,2046.081633,1678.693878,1858.857143,1878.204082,2158.653061,2047.55102,9,-0.923712123
79,55944,1386.666667,1336.666667,1410,1333.333333,1346.111111,1212.777778,1377.777778,1376.666667,1206.111111,9,-1.276504267
80,55968,3008.033333,2919.873333,2509.493333,2833.946667,2687.013333,2410.032895,3816.375,3656.842105,3510.243421,9,2.328510555
81,55986,2526.969697,2203.621212,1349.227273,1686.651515,2370.015152,2219.439394,1979.424242,2026.787879,1382.106061,9,-5.664413601
82,55989,2196.522801,2234.381107,1939.739414,2319.837134,1894.372964,2334.055375,1823.754072,2465.2443,1013.208469,9,-9.41262082
83,55992,2862.080997,3137.626168,2737.040498,2620.068536,2497.557632,2520.966011,3152.486583,3216.326774,3333.792487,9,0.76093078
84,55995,,,2965.211268,3130.28169,401.5492958,2847.887324,2467.323944,2629.15493,2323.943662,7,-4.843083088
85,56001,2534.108527,2386.728682,2224.604651,2316.20155,2182.403101,2134.356589,1988.728682,2033.72093,1730.170543,9,-3.94151503
86,56002,2577.368421,3050.789474,2112.368421,1836.842105,2461.578947,2027.368421,1809.736842,1528.421053,1516.315789,9,-8.36799758
87,56010,2867.020408,2745.285714,2618.030612,2513.816327,2584.530612,2371.918367,2042.744898,2522.581633,2458.306122,9,-1.370677119
