,plant_id,YEAR,Netgen
250,10191,2020,13800.0
251,10191,2021,15163.0
252,10586,2012,168645.0
253,10586,2013,162659.0
254,10586,2014,176326.0
255,10586,2015,152363.0
256,10586,2016,173868.0
257,10586,2017,167738.0
258,10586,2018,151385.0
259,10586,2019,153820.0
260,10586,2020,147797.0
261,10586,2021,171680.0
262,10597,2012,62838.0
263,10597,2013,63019.0
264,10597,2014,66775.0
265,10597,2015,53707.0
266,10597,2016,55674.0
267,10597,2017,48346.0
268,10597,2018,45134.0
269,10597,2019,43666.0
270,10597,2020,39458.0
271,10597,2021,42510.0
272,10718,2012,30489.0
273,10718,2013,28584.0
274,10718,2014,23329.0
275,10718,2015,28552.0
276,10718,2016,27156.0
277,10718,2017,26991.0
278,10718,2018,31227.0
279,10718,2019,30699.0
280,10718,2020,29328.0
281,10718,2021,30500.0
282,10738,2012,8056.0
283,10815,2012,38617.0
284,10815,2013,40968.0
285,10815,2014,32451.0
286,10815,2015,35343.0
287,10823,2012,1643.4
288,10823,2013,1171.17
289,10823,2015,1557.27
290,10823,2016,2072.07
291,10823,2017,2076.03
292,10823,2018,1791.9
293,10823,2019,2036.43
294,10823,2020,1883.97
295,10823,2021,1469.16
296,50001,2012,0.0
297,50001,2014,9275.0
298,50001,2015,0.0
299,50001,2016,0.0
300,50276,2012,9767.0
301,50276,2013,7626.0
302,50276,2014,7850.0
303,50276,2015,3110.0
304,50276,2016,2295.0
305,50276,2017,2044.0
306,50276,2018,358.0
307,50276,2019,71.0
308,50276,2020,582.0
309,50276,2021,81.0
310,50281,2012,74539.0
311,50281,2013,78855.0
312,50281,2014,69706.0
313,50281,2015,80645.0
314,50281,2016,88967.0
315,50281,2017,87582.0
316,50281,2018,91854.0
317,50281,2019,88707.0
318,50281,2020,85980.0
319,50281,2021,77280.0
320,50386,2012,36118.0
321,50386,2013,34916.0
322,50386,2014,33912.0
323,50386,2015,27259.0
324,50386,2016,35825.13
325,50386,2017,34410.42
326,50386,2018,32590.8
327,50386,2019,31592.0
328,50386,2020,5298.0
329,50485,2012,39366.0
330,50485,2013,37657.0
331,50485,2014,37867.0
332,50485,2015,28752.0
333,50485,2016,30957.0
334,50485,2017,21522.0
335,50485,2018,9160.0
336,50485,2019,4982.0
337,50485,2020,0.0
338,50532,2012,0.0
339,50532,2013,25055.0
340,50532,2014,25410.0
341,50532,2015,20576.0
342,50532,2016,20410.0
343,50532,2017,22929.0
344,50532,2018,22219.0
345,50532,2019,20612.0
346,50532,2020,21799.0
347,50532,2021,23445.0
348,50533,2012,30473.0
349,50533,2013,32420.0
350,50533,2014,32333.0
351,50533,2015,31806.0
352,50533,2016,32833.0
353,50533,2017,31822.0
354,50533,2018,29908.0
355,50533,2019,30876.0
356,50533,2021,117697.0
357,50534,2012,0.0
358,50534,2014,16000.0
359,50534,2015,23035.0
360,50534,2016,0.0
361,50535,2012,44332.0
362,50535,2013,29671.0
363,50535,2014,5007.0
364,50535,2015,9308.0
365,50535,2016,7261.0
366,50535,2017,5210.0
367,50535,2018,5055.0
368,50535,2019,2282.0
369,50535,2020,812.0
370,50535,2021,0.0
371,50536,2012,110279.0
372,50536,2013,162677.0
373,50536,2014,172090.0
374,50536,2015,130557.0
375,50536,2016,136626.0
376,50536,2017,138302.0
377,50536,2018,121860.0
378,50536,2019,99861.0
379,50536,2020,36984.0
380,50536,2021,41805.0
381,50552,2012,71929.0
382,50552,2013,66611.0
383,50552,2014,56710.0
384,50552,2015,57036.0
385,50552,2016,57869.0
386,50552,2017,56819.0
387,50552,2018,63695.0
388,50552,2019,47929.0
389,50552,2020,33916.0
390,50552,2021,42473.0
391,50553,2012,44665.0
392,50553,2013,46688.0
393,50553,2014,46637.0
394,50553,2015,43200.0
395,50553,2016,44987.0
396,50553,2017,43827.0
397,50553,2018,37618.0
398,50553,2019,28500.0
399,50553,2020,29640.0
400,50553,2021,25666.0
401,50690,2012,125992.0
402,50690,2013,121571.0
403,50690,2014,111118.0
404,50690,2015,114519.0
405,50690,2016,110141.0
406,50690,2017,110549.0
407,50690,2018,120084.0
408,50690,2019,118956.0
409,50690,2020,121948.0
410,50690,2021,132842.0
411,50712,2012,379143.0
412,50712,2013,381192.0
413,50712,2014,339513.0
414,50712,2015,195384.0
415,50754,2012,65450.0
416,50754,2013,62709.0
417,50754,2014,55517.0
418,50754,2015,54537.0
419,50754,2016,65658.0
420,50754,2017,62262.0
421,50754,2018,64995.0
422,50754,2019,58543.0
423,50754,2020,62223.0
424,50754,2021,68348.0
425,50818,2012,0.0
426,50818,2014,4072.0
427,50818,2015,0.0
428,50818,2016,0.0
429,50820,2012,15156.0
430,50820,2014,4819.0
431,50820,2015,4879.71
432,50820,2016,7125.0
433,50820,2017,6615.0
434,50820,2018,7425.0
435,50820,2019,6411.0
436,50820,2020,7102.0
437,50820,2021,5949.0
438,50821,2012,28670.0
439,50821,2013,44089.0
440,50821,2014,35493.0
441,50821,2015,27245.0
442,50821,2016,36900.0
443,50821,2017,34238.0
444,50821,2018,62516.0
445,50821,2019,52089.0
446,50821,2020,97991.0
447,50821,2021,94836.0
448,50822,2012,27137.0
449,50822,2013,41312.0
450,50822,2014,31927.0
451,50822,2015,27180.0
452,50822,2016,32898.0
453,50822,2017,28694.0
454,50823,2012,41374.0
455,50823,2013,53356.0
456,50823,2014,48069.0
457,50823,2015,38621.0
458,50823,2016,48832.0
459,50823,2017,42156.0
460,50823,2018,58346.0
461,50823,2019,49167.0
462,52142,2012,52181.0
463,52142,2013,74058.0
464,52142,2014,74810.0
465,52142,2015,65278.0
466,52142,2016,79678.0
467,52142,2017,70584.0
468,52142,2018,62891.0
469,52142,2019,51515.0
470,52142,2020,147742.0
471,52142,2021,116287.0
472,52143,2012,45137.0
473,52143,2013,61721.0
