,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR,operation_yrs_grp
46,55208,246339.0,213709.0,235602.0,230792.0,224577.0,232962.0,210211.0,205402.0,243159.0,237212.0,10,-0.3768319995818836,3
47,55265,277247.0,236064.0,272217.0,280610.0,280696.0,271661.0,137862.0,57121.0,454995.0,440862.0,10,4.7474794054242375,3
48,55287,195964.0,192947.0,192596.0,185884.0,154290.0,152092.0,134257.0,136692.0,151264.0,153814.0,10,-2.392776971263022,3
49,55342,22839.0,21567.0,22907.0,10915.0,17147.0,12920.0,6848.0,11360.0,32259.0,33983.0,10,4.053924112339358,3
50,55353,28121.0,24227.0,29285.0,27844.0,25809.0,20220.0,19699.0,19416.0,16254.0,16412.0,10,-5.24261331809649,3
51,55354,31686.0,29814.0,36421.0,32944.0,32850.0,31552.0,26389.0,22600.0,23038.0,30671.0,10,-0.3250441859165787,3
52,55368,12019.0,9479.0,9409.0,13442.0,12528.0,7729.0,4524.0,3001.0,2213.0,1686.0,10,-17.832717571203027,3
53,55396,32485.0,37530.0,24345.0,25748.0,23620.0,25600.0,16676.0,16223.0,11983.0,5917.0,10,-15.658393340936694,3
54,55560,402669.0,361447.0,367594.0,319124.0,381650.0,311660.0,383995.0,322622.0,436102.0,179237.0,10,-7.775152235828231,3
55,55566,5618.0,5135.0,6204.0,5597.0,5297.0,5053.0,3848.0,3231.0,5498.0,4476.0,10,-2.2468335036993525,3
56,55574,5490.0,5746.0,6272.0,5699.0,5965.0,5374.0,4972.0,4334.0,4651.0,5308.0,10,-0.3365637407301447,3
57,55576,5267.0,5082.0,5483.0,5530.0,5379.0,4324.0,4355.0,3893.0,4697.0,5305.0,10,0.07191416148959462,3
58,55579,252607.0,264529.0,259869.0,209123.0,198781.0,121412.0,113650.0,118242.0,149175.0,109598.0,10,-8.011036631007585,3
59,55581,616884.0,616942.0,662723.0,512493.0,468867.0,462136.0,312760.0,504280.0,600857.0,504346.0,10,-1.994035402301253,3
60,55607,108555.0,113973.0,110628.0,104354.0,138352.0,126928.0,133413.0,121307.0,49196.0,154512.0,10,3.5931975144250172,3
61,55719,212098.0,213164.0,201736.0,194716.0,183827.0,156253.0,197485.0,196597.0,193742.0,181140.0,10,-1.5654004121394172,3
62,55734,289551.0,70460.0,138714.0,293526.0,240653.0,175521.0,254995.0,206415.0,210879.0,328930.0,10,1.2832996628860505,3
63,55739,102840.0,89157.0,99604.0,84165.0,96898.0,90669.0,98535.0,74241.0,106205.0,97873.0,10,-0.49381333833192764,3
64,55740,135098.0,142833.0,151233.0,117679.0,145855.0,147623.0,138698.0,136244.0,151174.0,107328.0,10,-2.274835154556576,3
65,55741,74794.0,77923.0,76354.0,64652.0,79739.0,71153.0,67749.0,64623.0,71721.0,60859.0,10,-2.0406701972950136,3
66,55742,56406.0,54058.0,58949.0,53302.0,46660.0,48308.0,39872.0,45408.0,52709.0,52038.0,10,-0.8027735726063745,3
67,55747,246104.0,219693.0,223914.0,168091.0,152680.0,175949.0,149851.0,208256.0,237991.0,218740.0,10,-1.1717845069273203,3
68,55769,18831.0,20398.0,20900.0,19504.0,19742.0,20595.0,18523.0,18829.0,16223.0,10038.0,10,-6.097451134717513,3
69,55782,4950.0,4305.0,5057.0,4711.0,4506.0,4442.0,2432.0,1462.0,725.0,841.0,10,-16.24339222246103,3
70,55790,58567.0,68252.0,67944.0,67350.0,62451.0,44448.0,53873.0,79129.0,62122.0,73372.0,10,2.27929784074703,3
71,55795,167769.0,188196.0,185401.0,154791.0,149046.0,159298.0,109129.0,143604.0,164168.0,148633.0,10,-1.2037744887616997,3
72,55796,165545.0,188866.0,197038.0,167987.0,163825.0,159298.0,142902.0,150969.0,172586.0,156256.0,10,-0.5758095583909939,3
73,55803,17400.0,21510.0,8944.0,15754.0,16332.0,17224.0,17555.0,7777.0,8319.0,8215.0,10,-7.230368402873855,3
74,55804,170146.0,169776.0,170217.0,172515.0,178852.0,149325.0,116850.0,124079.0,128437.0,149567.0,10,-1.2808507723989004,3
75,55805,33502.0,34214.0,17645.0,17796.0,32771.0,38783.0,34107.0,19796.0,17632.0,15050.0,10,-7.690462171809031,3
76,55809,4099.0,3524.0,3999.0,3110.0,3684.0,3736.0,3318.0,2961.0,3127.0,3862.0,10,-0.5938085217258804,3
77,55816,86967.0,90300.0,93546.0,87892.0,88330.0,86939.0,78079.0,66379.0,79296.0,168608.0,10,6.844548651026883,3
78,55871,49399.0,55453.0,54031.0,49307.0,50129.0,41128.0,45542.0,46016.0,52887.0,50165.0,10,0.15399235968629466,3
79,55944,2375.0,2496.0,2406.0,2538.0,2400.0,2423.0,2183.0,2480.0,2478.0,2171.0,10,-0.8940746345463713,3
80,55968,440956.0,451205.0,437981.0,376424.0,425092.0,403052.0,366325.0,580089.0,555840.0,533557.0,10,1.9244922338260473,3
81,55986,138972.0,166780.0,145439.0,89049.0,111319.0,156421.0,146483.0,130642.0,133768.0,91219.0,10,-4.122698994135499,3
82,55989,292756.0,269733.0,274382.0,238200.0,284876.0,232629.0,286622.0,223957.0,302732.0,124422.0,10,-8.200749088714254,3
83,55992,446076.0,459364.0,503589.0,439295.0,420521.0,400858.0,422766.0,528672.0,539378.0,559077.0,10,2.283663982789985,3
84,55995,21759.0,0.0,0.0,21053.0,22225.0,2851.0,20220.0,17518.0,18667.0,16500.0,10,-2.728749032400535,3
85,56001,141670.0,163450.0,153944.0,143487.0,149395.0,140765.0,137666.0,128273.0,131175.0,111596.0,10,-2.3579085068015204,3
86,56002,9900.0,9794.0,11593.0,8027.0,6980.0,9354.0,7704.0,6877.0,5808.0,5762.0,10,-5.268632652307492,3
87,56010,255856.0,280968.0,269038.0,256567.0,246354.0,253284.0,232448.0,200189.0,247213.0,240914.0,10,-0.5999407538914592,3
88,56011,118425.0,111220.0,109662.0,104409.0,116855.0,116575.0,113364.0,111678.0,103235.0,113452.0,10,-0.4280811973845333,3
89,56012,202696.0,194912.0,161039.0,144059.0,138295.0,164451.0,159463.0,142446.0,132375.0,126689.0,10,-4.590993624366724,3
90,56052,73780.0,80279.0,86810.0,74089.0,81824.0,82055.0,78045.0,71047.0,70865.0,48440.0,10,-4.120326080274117,3
91,56054,100863.0,100982.0,108104.0,99133.0,97310.0,82592.0,85526.0,82378.0,93433.0,88113.0,10,-1.3423399598761487,3
92,56075,378606.0,383364.0,331412.0,346775.0,314276.0,308459.0,345306.0,296582.0,312992.0,356139.0,10,-0.6098824448547813,3
93,56081,272563.0,261998.0,272342.0,236371.0,254212.0,247587.0,231372.0,231100.0,214503.0,108140.0,10,-8.830001752071182,3
94,56092,138286.0,129436.0,142024.0,127947.0,137680.0,122855.0,112402.0,96513.0,84448.0,85288.0,10,-4.717976519785328,3
95,56093,384066.0,348038.0,402876.0,306966.0,362139.0,364125.0,350158.0,343458.0,377140.0,355971.0,10,-0.7567734002421611,3
96,56094,257105.0,262281.0,282083.0,267989.0,279175.0,219415.0,187863.0,182809.0,280291.0,135377.0,10,-6.212828927355385,3
97,56097,546321.0,490539.0,489441.0,396342.0,496547.0,496778.0,485135.0,610060.0,573389.0,611354.0,10,1.1310430109034764,3
98,56099,184102.0,135767.0,179616.0,175394.0,167719.0,162357.0,144583.0,135510.0,98406.0,104610.0,10,-5.4957217709942,3
99,56106,28500.0,30599.0,28800.0,22683.0,13368.0,1455.0,59057.0,116156.0,127177.0,118864.0,10,15.350783330876915,3
100,56111,511187.0,501171.0,498645.0,408936.0,461962.0,365814.0,358773.0,390042.0,330423.0,240145.0,10,-7.2765942877247465,3
101,56112,70107.0,72991.0,70313.0,71124.0,73553.0,63387.0,68955.0,67870.0,58309.0,60080.0,10,-1.5316061474375253,3
102,56142,267681.0,222029.0,220214.0,222800.0,232289.0,228713.0,211623.0,201508.0,227154.0,222046.0,10,-1.851754442700293,3
103,56153,40939.0,36240.0,37735.0,37928.0,36424.0,33805.0,33024.0,32301.0,35550.0,30036.0,10,-3.0494032584421182,3
104,56160,97217.0,78993.0,76778.0,80453.0,82357.0,98641.0,30405.0,177589.0,242259.0,268967.0,10,10.712250351647313,3
105,56162,172428.0,185115.0,194809.0,192618.0,176314.0,162168.0,166509.0,127261.0,122079.0,87965.0,10,-6.508912490839702,3
106,56172,149247.0,143171.0,154742.0,144044.0,131197.0,129720.0,121051.0,116604.0,133105.0,69512.0,10,-7.356401147698,3
107,56173,519504.0,440549.0,400799.0,377632.0,506052.0,219729.0,305678.0,416148.0,247413.0,534808.0,10,0.29075481183571394,3
108,56174,160805.0,145412.0,156516.0,142542.0,153551.0,153239.0,142405.0,131255.0,109904.0,71344.0,10,-7.805334986181256,3
109,56195,109373.0,102602.0,107566.0,91035.0,116764.0,93507.0,113681.0,87601.0,121150.0,103619.0,10,-0.5389757664659101,3
110,56203,6122.0,5755.0,6169.0,4471.0,96.0,1615.0,2447.0,1764.0,1689.0,1658.0,10,-12.245555765799331,3
111,56210,6355.0,6197.0,7006.0,6483.0,6254.0,5993.0,5096.0,892.0,2434.0,1081.0,10,-16.2333757604507,3
112,56211,133090.0,114990.0,125722.0,109446.0,114330.0,97304.0,141733.0,150322.0,145425.0,139075.0,10,0.4408465304683862,3
113,56212,301114.0,307886.0,323607.0,283044.0,297092.0,256576.0,366172.0,364634.0,343906.0,369510.0,10,2.0679811647879687,3
114,56215,532.0,1779.0,1912.0,2048.0,4024.0,5073.0,3475.0,1472.0,1806.0,960.0,10,6.080598193443287,3
115,56226,14233.0,14433.0,14262.0,13086.0,10892.0,12075.0,11214.0,11231.0,9259.0,6757.0,10,-7.179106006991831,3
116,56240,390997.0,374189.0,385083.0,324844.0,349474.0,361998.0,353033.0,358357.0,330380.0,290499.0,10,-2.927297249516503,3
117,56251,536535.0,546999.0,537302.0,403619.0,419389.0,353999.0,488239.0,488160.0,519593.0,527179.0,10,-0.17576184044715282,3
118,56252,569634.0,565559.0,589084.0,510234.0,436707.0,408278.0,529756.0,536289.0,570021.0,570380.0,10,0.01308841690046414,3
119,56255,426355.0,404140.0,453219.0,362253.0,415070.0,342810.0,408658.0,337993.0,414673.0,416138.0,10,-0.2422600410913911,3
120,56270,361799.0,376851.0,404579.0,334957.0,361902.0,368607.0,422634.0,426623.0,431465.0,406870.0,10,1.180968159065321,3
121,56271,65578.0,65334.0,58266.0,60768.0,63351.0,58306.0,63301.0,54003.0,56046.0,49607.0,10,-2.7524923508509214,3
122,56273,620742.0,566266.0,407731.0,525913.0,570008.0,568037.0,556261.0,512229.0,415059.0,622588.0,10,0.029698880647077708,3
123,56275,4061.0,3168.0,3203.0,266.0,2492.0,2316.0,3799.0,2037.0,2822.0,3940.0,10,-0.30202822822684716,3
124,56290,723940.0,751393.0,813135.0,783219.0,764322.0,786732.0,739631.0,736955.0,741223.0,618268.0,10,-1.5654818819427985,3
125,56291,1879028.0,1463404.0,2309100.0,1965895.0,2159583.0,1972964.0,2440172.0,2493463.0,2513457.0,2313973.0,10,2.103940593965814,3
126,56293,320528.0,320829.0,316680.0,296624.0,324918.0,317735.0,330326.0,320798.0,276519.0,281070.0,10,-1.3050680351446853,3
127,56295,134281.0,148277.0,139936.0,126691.0,142816.0,118478.0,155655.0,156884.0,143525.0,150994.0,10,1.1799620874525907,3
128,56296,334208.0,331235.0,367631.0,360116.0,324607.0,300262.0,286622.0,280875.0,297274.0,352434.0,10,0.5324104643569028,3
129,56297,152324.0,140893.0,147864.0,155945.0,146775.0,159284.0,142699.0,152207.0,132071.0,86899.0,10,-5.45803071362675,3
130,56299,47985.0,55246.0,66929.0,63448.0,59276.0,63406.0,68727.0,46147.0,57209.0,62006.0,10,2.5965652660032257,3
131,56300,11568.0,10877.0,20834.0,20328.0,20131.0,21534.0,21461.0,20936.0,19999.0,19729.0,10,5.483535897869896,3
132,56301,178428.0,154011.0,183793.0,142898.0,174811.0,172117.0,171358.0,163896.0,185417.0,168800.0,10,-0.5531701117539645,3
133,56302,124136.0,139369.0,158538.0,151583.0,178931.0,172388.0,171892.0,148722.0,81991.0,40096.0,10,-10.685837495639372,3
134,56303,572146.0,547522.0,567081.0,509352.0,507687.0,466681.0,450118.0,383804.0,348149.0,298842.0,10,-6.288373268483816,3
