,Plant Id,"Reported
Prime Mover",Plant State,Census Region,NERC Region,"Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",Plant Code,Sector Name,Utility Name,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Number of Turbines,turbine_capacity (KW),hub_height (m),rotor_diameter (m),rotor_swept area (m2),max_height (m),xlong,ylat,uptime,efficiency,avg_tgen,avg_fuel,avg_tcap,cluster
294,56811,WT,IA,WNC,MRO,4706617,532182,56811,Electric Utility,MidAmerican Energy Co,165.2,165.2,165.2,102,1620,80,91.5,6575.55,125.9,-95.22941535,41.45945645,3221.440678,0.113071023,5217.470588,46143.30392,1.619607843,1
295,56818,WT,KS,WNC,MRO,1335966,151059,56818,Electric Utility,"Evergy Kansas Central, Inc",99,99,99,33,3000,80,90,6361.73,125,-101.159836,38.51855979,1525.848485,0.113070991,4577.545455,40483.81818,3,0
296,56819,WT,KS,WNC,MRO,420797,47580,56819,Electric Utility,"Evergy Kansas Central, Inc",50,50,50,20,2500,80,96,7238.23,128,-98.51211316,37.37748853,951.6,0.113071148,2379,21039.85,2.5,0
297,56823,WT,TX,WSC,TRE,3395990,383988,56823,IPP Non-CHP,Hackberry Wind LLC,165.6,162.3,162.3,72,2300,80,93,6792.91,126.5,-99.45857969,32.78149961,2318.768116,0.113071004,5333.166667,47166.52778,2.3,1
298,56826,WT,MN,WNC,MRO,41063,4643,56826,IPP Non-CHP,"Marshall Wind Farm, LLC",4.2,4.2,4.2,2,2100,79,88,6082.12,123.1,-95.815757,44.32869178,1105.47619,0.11307016,2321.5,20531.5,2.1,0
299,56829,WT,ME,NEW,NPCC,2707389,306127,56829,IPP Non-CHP,"Helix Maine Wind Development, LLC",132,132,132,44,3000,80,90,6361.73,125,-70.55076755,45.36414811,2319.143939,0.113070933,6957.431818,61531.56818,3,1
300,56831,WT,IA,WNC,MRO,2015777,227926,56831,Electric Utility,Wisconsin Public Service Corp,99,99,99,66,1500,80,77,4656.63,118.6,-92.48494877,43.40534342,2302.282828,0.113071039,3453.424242,30542.07576,1.5,0
301,56835,WT,TX,WSC,MRO,40232,4549,56835,IPP Non-CHP,Stockyard Wind,10,10,10,8,1250,73.21428571,64,3216.99,105.1285714,-101.9883674,35.81307757,454.9,0.113069199,568.625,5029,1.25,0
302,56836,WT,TX,WSC,MRO,75244,8508,56836,IPP Non-CHP,Stockyard Wind,8.8,8.8,8.8,7,1250,73.5625,64,3216.99,105.4625,-101.9871036,35.81169375,966.8181818,0.113072139,1215.428571,10749.14286,1.257142857,0
303,56837,WT,TX,WSC,MRO,50587,5720,56837,IPP Non-CHP,Stockyard Wind,10,10,10,8,1250,74.5,64,3216.99,106.4,-101.8908158,36.02640588,572,0.113072529,715,6323.375,1.25,0
304,56838,WT,TX,WSC,MRO,52065,5887,56838,IPP Non-CHP,Stockyard Wind,10,10,10,8,1250,74.5,64,3216.99,106.4,-101.8573531,35.99852,588.7,0.113070201,735.875,6508.125,1.25,0
305,56839,WT,TX,WSC,MRO,65498,7406,56839,IPP Non-CHP,Stockyard Wind,10,10,10,8,1250,72,64,3216.99,103.9,-101.8022525,35.961395,740.6,0.113072155,925.75,8187.25,1.25,0
306,56841,WT,WY,MTN,WECC,4126813,466623,56841,Electric Utility,PacifiCorp,165.6,138,138,92,1796.153846,80,88.84615385,6219.687692,124.5230769,-105.8203744,43.05803497,2817.771739,0.113071031,5071.98913,44856.66304,1.8,1
307,56842,WT,WY,MTN,WECC,2622768,296559,56842,Electric Utility,PacifiCorp,115.8,99,99,66,1754.545455,80,87.18181818,6000.084545,123.6909091,-105.8383918,43.06300061,2560.958549,0.113071,4493.318182,39738.90909,1.754545455,1
308,56843,WT,WY,MTN,WECC,4233259,478659,56843,Electric Utility,PacifiCorp,146.2,118.5,118.5,79,1836.708861,80,90.46835443,6433.731266,125.3341772,-106.3936239,41.9469351,3274.001368,0.113071041,6058.974684,53585.55696,1.850632911,1
309,56854,WT,OR,PACC,WECC,1940561,219421,56854,IPP Non-CHP,Wheat Field Wind Power Project LLC,102.9,102.9,102.9,46,2100,79,88,6082.12,123.1,-120.316736,45.67059291,2132.371234,0.113070911,4770.021739,42186.1087,2.236956522,0
310,56855,WT,OR,PACC,WECC,2003281,226513,56855,IPP Non-CHP,Arlington Wind Power Project LLC,102.9,102.9,102.9,49,2095.918367,79.04081633,88,6082.12,123.0959184,-120.2397196,45.68777747,2201.292517,0.113071007,4622.714286,40883.28571,2.1,0
311,56856,WT,IL,ENC,SERC,2410300,272535,56856,IPP Non-CHP,Rail Splitter Wind Farm LLC,100.5,100.5,100.5,67,1485.820896,79.40298507,76.44776119,4605.883881,117.7253731,-89.41561772,40.3329466,2711.791045,0.113070987,4067.686567,35974.62687,1.5,1
312,56857,WT,NY,MAT,NPCC,3903548,441378,56857,IPP Non-CHP,"Marble River, LLC",215.3,215.3,215.3,70,3075,94,112,9852.03,150,-73.93881596,44.92812829,2050.060381,0.113070981,6305.4,55764.97143,3.075714286,1
313,56858,WT,WA,PACC,WECC,2563442,289851,56858,IPP Non-CHP,"Sagebrush Power Partners, LLC",100.7,100.7,100.7,61,2100,80,88,6082.12,124.1,-120.6925072,47.1409415,2878.36147,0.113071019,4751.655738,42023.63934,1.650819672,1
314,56859,WT,IA,WNC,MRO,607397,68679,56859,IPP Non-CHP,Crosswind Energy Project,21,21,21,10,2100,79,88,6082.12,123.1,-94.8969521,43.0675415,3270.428571,0.113071023,6867.9,60739.7,2.1,1
315,56860,WT,IA,WNC,MRO,379505,42911,56860,IPP Non-CHP,"Hardin Hilltop Wind, LLC",14.7,14.7,14.7,7,2100,79,88,6082.12,123.1,-94.35059271,42.08557843,2919.115646,0.113070974,6130.142857,54215,2.1,1
316,56874,WT,CA,PACC,WECC,4064879,459620,56874,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",150,150,150,75,2000,74.94,92.5,6720.06,121.096,-121.7913383,38.16335035,3064.133333,0.113071016,6128.266667,54198.38667,2,1
317,56876,WT,MN,WNC,MRO,2318138,262114,56876,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",100.5,100.5,100.5,67,1500,80,77,4656.63,118.6,-92.66840036,43.69604419,2608.099502,0.113070922,3912.149254,34599.07463,1.5,1
318,56878,WT,IN,ENC,RFC,1913126,216319,56878,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",106,106,106,50,2000,80,92.5,6720.06,126.2,-87.23005621,40.71297128,2040.745283,0.113070963,4326.38,38262.52,2.12,0
319,56879,WT,KS,WNC,MRO,1631267,184449,56879,IPP Non-CHP,AE Power Services LLC,44,44,44,20,2026.315789,80,109.2631579,9384.104737,134.6315789,-98.45546553,37.36880358,4192.022727,0.113071006,9222.45,81563.35,2.2,2
320,56901,WT,NY,MAT,NPCC,1437089,162493,56901,IPP Non-CHP,"Valcour Operating Services, LLC",97.5,97.5,97.5,65,1500,80,77,4656.63,118.6,-73.64967252,44.82063391,1666.594872,0.113070937,2499.892308,22109.06154,1.5,0
321,56902,WT,NY,MAT,NPCC,2015467,227891,56902,IPP Non-CHP,"Valcour Operating Services, LLC",126,126,126,84,1500,80,77,4656.63,118.6,-78.2608549,42.62293007,1808.65873,0.113071065,2712.988095,23993.65476,1.5,0
322,56904,WT,NY,MAT,NPCC,1550283,175292,56904,IPP Non-CHP,"Valcour Operating Services, LLC",106.5,106.5,106.5,71,1500,80,77,4656.63,118.6,-74.03575996,44.89893903,1645.934272,0.113070968,2468.901408,21834.97183,1.5,0
323,56905,WT,TX,WSC,MRO,1638556,185273,56905,IPP Non-CHP,Great Plains Windpark Legacy LLC,114,114,114,76,1500,80,77,4656.63,118.6,-101.3642489,36.47458296,1625.201754,0.113070899,2437.802632,21559.94737,1.5,0
324,56912,WT,ND,WNC,MRO,1632622,184602,56912,IPP Non-CHP,FPL Energy Langdon Wind LLC,40.5,40.5,40.5,27,1620,80,91,6503.88,125.6,-98.28708083,48.62194183,4558.074074,0.113070876,6837.111111,60467.48148,1.5,1
325,56913,WT,IA,WNC,MRO,1626455,183905,56913,IPP Non-CHP,Osceola Windpower II,49.6,49.6,49.6,20,2480,80,116,10568.32,138.1,-95.46165285,43.4325599,3707.762097,0.113071066,9195.25,81322.75,2.48,2
326,56919,WT,ND,WNC,MRO,5320188,601559,56919,IPP Non-CHP,FPL Energy Ashtabula Wind LLC,148.5,148.5,148.5,99,1500,80,91,6503.88,125.6,-97.92269974,47.13506953,4050.902357,0.113071004,6076.353535,53739.27273,1.5,1
327,56920,WT,TX,WSC,TRE,4676673,528796,56920,IPP Non-CHP,RWE Renewables Americas LLC,142.5,142.5,142.5,95,1620,80,88.47368421,6150.701053,124.2105263,-101.3169835,31.94392345,3710.849123,0.11307098,5566.273684,49228.13684,1.5,1
328,56921,WT,TX,WSC,TRE,3622829,409637,56921,IPP Non-CHP,RWE Renewables Americas LLC,115.5,115.5,115.5,77,1620,80,88.50649351,6155.287792,124.2285714,-101.4313946,32.04178971,3546.640693,0.113071028,5319.961039,47049.72727,1.5,1
329,56923,WT,IA,WNC,MRO,4638272,524454,56923,IPP Non-CHP,FPL Energy Crystal Lake Wind LLC,150,150,150,100,1500,80,91,6503.88,125.6,-93.85358615,43.19518854,3496.36,0.113070989,5244.54,46382.72,1.5,1
330,56924,WT,IA,WNC,MRO,4898107,553834,56924,IPP Non-CHP,FPL Energy Story Wind LLC,150,150,150,100,1500,80,88.44,6150.39,124.22,-93.29032307,42.11160222,3692.226667,0.113071029,5538.34,48981.07,1.5,1
331,56925,WT,IA,WNC,MRO,6055645,684718,56925,IPP Non-CHP,FPL Energy Crystal Lake Wind II LLC,200,199,199,80,2485,80,115,10401.8155,137.595,-93.79158449,43.30049274,3423.59,0.113071027,8558.975,75695.5625,2.5,2
332,56933,WT,OR,PACC,WECC,202252,22869,56933,IPP Non-CHP,"Threemile Canyon Wind I, LLC",9.9,9.9,9.9,6,1650,80,82,5281.02,121,-119.9388517,45.67829383,2310,0.113071811,3811.5,33708.66667,1.65,0
333,56934,WT,ID,MTN,WECC,167877,18982,56934,IPP Non-CHP,"Cassia Wind Farm, LLC",10.5,10.5,10.5,5,2100,79,88,6082.12,123.1,-115.0366504,42.8445532,1807.809524,0.113070879,3796.4,33575.4,2.1,0
334,56935,WT,ID,MTN,WECC,365594,41338,56935,IPP Non-CHP,"Cassia Gulch Wind Park, LLC",18.9,18.9,18.9,9,2100,79,88,6082.12,123.1,-115.0173762,42.87650622,2187.195767,0.113070783,4593.111111,40621.55556,2.1,0
335,56941,WT,IL,ENC,RFC,4353574,492263,56941,IPP Non-CHP,Invenergy Services LLC,210,210,210,140,1500,80,77,4656.63,118.6,-88.70483816,41.20328135,2344.109524,0.113071008,3516.164286,31096.95714,1.5,0
336,56942,WT,WI,ENC,MRO,1128920,127648,56942,Electric Utility,Wisconsin Public Service Corp,129,129,129,106,1500,80,77,4656.63,118.6,-88.52609731,43.62070559,989.5193798,0.1130709,1204.226415,10650.18868,1.216981132,0
337,56945,WT,NM,MTN,WECC,3351000,378901,56945,IPP Non-CHP,"High Lonesome Mesa, LLC",100,100,100,40,2485,80,116,10568.32,138.1,-105.9613156,34.46791438,3789.01,0.113071024,9472.525,83775,2.5,2
338,56946,WT,OK,WSC,MRO,194876,22035,56946,IPP Non-CHP,"Buffalo Bear, LLC",18.9,18.9,18.9,9,2100,79,88,6082.12,123.1,-99.65531322,36.774128,1165.873016,0.113071902,2448.333333,21652.88889,2.1,0
339,56947,WT,NE,WNC,MRO,1473517,166612,56947,IPP Non-CHP,"Elkhorn Ridge Wind, LLC",81,81,81,27,3000,80,90,6361.73,125,-97.66598507,42.67325778,2056.938272,0.113070972,6170.814815,54574.7037,3,1
340,56952,WT,OR,PACC,WECC,1568668,177371,56952,IPP Non-CHP,Invenergy Services LLC,72,72,72,48,1500,80,77,4656.63,118.6,-119.9927797,45.65274881,2463.486111,0.11307109,3695.229167,32680.58333,1.5,0
341,56953,WT,NY,MAT,NPCC,1964951,222179,56953,IPP Non-CHP,Invenergy Services LLC,112.5,112,112,75,1500,80,77,4656.63,118.6,-78.39379155,42.7440134,1974.924444,0.113071013,2962.386667,26199.34667,1.5,0
342,56956,WT,TX,WSC,TRE,2141380,242128,56956,IPP Non-CHP,Bull Creek Wind LLC,180,180,180,180,1000,69,61.4,2960.92,99.7,-101.5803284,32.93194647,1345.155556,0.11307101,1345.155556,11896.55556,1,0
343,56959,WT,TX,WSC,TRE,271246,30670,56959,IPP Non-CHP,Duke Energy DEGS Ocotillo,58.8,58.8,58.8,28,2100,79,88,6082.12,123.1,-101.3969448,32.14280936,521.5986395,0.113070792,1095.357143,9687.357143,2.1,0
344,56960,WT,WY,MTN,WECC,599145,67746,56960,IPP Non-CHP,Duke Energy DEGS Happy Jack,29.4,29.4,29.4,14,2100,79,88,6082.12,123.1,-104.9941467,41.13989279,2304.285714,0.113071126,4839,42796.07143,2.1,1
345,56961,WT,TX,WSC,TRE,2796562,316210,56961,IPP Non-CHP,Duke Energy DEGS Notrees,152.5,152.5,152.5,96,1589.6875,80,80,5032.114896,120.0416667,-102.8285244,31.99400763,2073.508197,0.113070978,3293.854167,29130.85417,1.588541667,0
346,56967,WT,OR,PACC,WECC,113256,12806,56967,IPP Non-CHP,Echo 3,5,5,5,3,1650,80,82,5281.02,121,-119.4746197,45.64286167,2561.2,0.113071272,4268.666667,37752,1.666666667,1
347,56968,WT,OR,PACC,WECC,35092,3968,56968,IPP Non-CHP,Echo 3,1.7,1.7,1.7,1,1650,80,82,5281.02,121,-119.47049,45.639095,2334.117647,0.113074205,3968,35092,1.7,0
348,56969,WT,OR,PACC,WECC,160703,18171,56969,IPP Non-CHP,Echo 2,10,10,10,5,2000,80,92.5,6720.06,126.2,-119.4534836,45.6448804,1817.1,0.11307194,3634.2,32140.6,2,0
349,56970,WT,OR,PACC,WECC,195419,22096,56970,IPP Non-CHP,Echo 2,10,10,10,5,2000,80,92.5,6720.06,126.2,-119.4146666,45.7249046,2209.6,0.113069865,4419.2,39083.8,2,0
350,56971,WT,OR,PACC,WECC,231790,26209,56971,IPP Non-CHP,Echo 1,9.9,9.9,9.9,6,1650,80,82,5281.02,121,-119.4751523,45.65031183,2647.373737,0.113072177,4368.166667,38631.66667,1.65,1
351,56972,WT,OR,PACC,WECC,170556,19285,56972,IPP Non-CHP,Echo 1,8.3,8.3,8.3,5,1650,80,82,5281.02,121,-119.4588256,45.6638138,2323.493976,0.113071367,3857,34111.2,1.66,0
352,56973,WT,OR,PACC,WECC,219729,24845,56973,IPP Non-CHP,Echo 1,9.9,9.9,9.9,6,1650,80,82,5281.02,121,-119.4136695,45.700527,2509.59596,0.113071101,4140.833333,36621.5,1.65,1
353,56974,WT,OR,PACC,WECC,67569,7640,56974,IPP Non-CHP,Echo 3,3.3,3.3,3.3,2,1650,80,82,5281.02,121,-119.413788,45.705395,2315.151515,0.113069603,3820,33784.5,1.65,0
354,56975,WT,OR,PACC,WECC,150871,17059,56975,IPP Non-CHP,Echo 1,6.6,6.6,6.6,4,1650,80,82,5281.02,121,-119.4045603,45.71061875,2584.69697,0.113070106,4264.75,37717.75,1.65,1
355,56979,WT,TX,WSC,TRE,4687001,529964,56979,IPP Non-CHP,RWE Renewables Americas LLC,215.5,215.5,215.5,133,1500,80,77,4656.63,118.6,-101.1166879,31.99235081,2459.229698,0.113071023,3984.691729,35240.60902,1.620300752,0
356,56980,WT,PA,MAT,RFC,1190180,134575,56980,IPP Non-CHP,RWE Renewables Americas LLC,52.5,52.5,52.5,35,1500,80,77,4656.63,118.5971429,-78.81517034,40.03097643,2563.333333,0.113071132,3845,34005.14286,1.5,1
357,56981,WT,TX,WSC,TRE,5792324,654944,56981,IPP Non-CHP,RWE Renewables Americas LLC,249,249,249,166,1500,80,77,4656.63,118.6,-100.6741214,32.59145904,2630.297189,0.113071023,3945.445783,34893.51807,1.5,1
358,56983,WT,TX,WSC,TRE,3927417,444077,56983,IPP Non-CHP,RWE Renewables Americas LLC,180,180,180,109,1650,80,82,5281.02,121,-97.46265489,27.9351328,2467.094444,0.113071008,4074.100917,36031.34862,1.651376147,1
359,56984,WT,TX,WSC,TRE,4091076,462582,56984,IPP Non-CHP,RWE Renewables Americas LLC,197,197,197,197,1000,69,61.4,2960.92,99.7,-100.5811845,32.50753813,2348.13198,0.113070987,2348.13198,20766.88325,1,0
360,56985,WT,KS,WNC,MRO,4024409,455044,56985,IPP Non-CHP,Smoky Hills Wind Project II LLC,148.5,148.5,148.5,99,1550.505051,80,84.07070707,5589.584545,122.0848485,-98.2433974,38.88661113,3064.26936,0.113071012,4596.40404,40650.59596,1.5,1
361,56989,WT,ME,NEW,NPCC,1031264,116606,56989,IPP Non-CHP,"Evergreen Wind, LLC",57,57,57,38,1500,80,77,4656.63,118.6,-67.97871016,45.52562287,2045.719298,0.11307095,3068.578947,27138.52632,1.5,0
362,56990,WT,ME,NEW,NPCC,1310683,148200,56990,IPP Non-CHP,"Evergreen Wind, LLC",60,60,60,40,1500,80,77,4656.63,118.6,-68.38023748,45.3459907,2470,0.113070819,3705,32767.075,1.5,0
363,56991,WT,ME,NEW,NPCC,458287,51819,56991,IPP Non-CHP,"Evergreen Wind, LLC",25.5,25.5,25.5,17,1500,80,77,4656.63,118.6,-67.97098894,45.61497282,2032.117647,0.113071067,3048.176471,26958.05882,1.5,0
364,56994,WT,MN,WNC,MRO,1902494,215117,56994,Electric Utility,Northern States Power Co - Minnesota,100.5,100.5,100.5,67,1500,80,77,4656.63,118.6,-92.67779322,43.76671413,2140.467662,0.113071053,3210.701493,28395.43284,1.5,0
365,57002,WT,ME,NEW,NPCC,3032847,342927,57002,IPP Non-CHP,Onward Energy,148,148,148,48,3075,84,112,9852.03,139.9,-68.1010194,46.06190392,2317.074324,0.113070986,7144.3125,63184.3125,3.083333333,1
366,57031,WT,ND,WNC,MRO,1546451,174859,57031,Electric Utility,Otter Tail Power Co,49.5,49.5,49.5,33,1500,80,82.5,5345.62,121.3,-97.92885197,47.34345273,3532.505051,0.113071155,5298.757576,46862.15152,1.5,1
367,57032,WT,ND,WNC,MRO,1232668,139379,57032,Electric Utility,Otter Tail Power Co,48,48,48,32,1500,80,77,4656.63,118.6,-97.91056019,47.06903259,2903.729167,0.113070997,4355.59375,38520.875,1.5,1
368,57033,WT,ND,WNC,MRO,1274448,144103,57033,Electric Utility,Otter Tail Power Co,40.5,40.5,40.5,27,1500,80,77,4656.63,118.6,-98.24890185,48.71305141,3558.098765,0.113070914,5337.148148,47201.77778,1.5,1
369,57038,WT,ND,WNC,MRO,1913619,216375,57038,Electric Utility,"ALLETE, Inc.",81.8,81.8,81.8,31,2638.709677,80,101,8011.85,130.5,-101.5329059,46.980696,2645.171149,0.113071097,6979.83871,61729.64516,2.638709677,1
370,57039,WT,WY,MTN,WECC,906714,102523,57039,Electric Utility,PacifiCorp,35.2,28.8,28.5,19,1850,80,91,6503.88,125.6,-106.0375318,41.65593479,2912.585227,0.113070935,5395.947368,47721.78947,1.852631579,1
371,57040,WT,WY,MTN,WECC,2952994,333898,57040,Electric Utility,PacifiCorp,122.1,99,99,66,1850,80,91,6503.88,125.6,-106.0111554,41.67507015,2734.627355,0.113071005,5059.060606,44742.33333,1.85,1
372,57044,WT,PA,MAT,RFC,2092338,236583,57044,IPP Non-CHP,Allete Clean Energy,100.5,100.5,100.5,67,1500,80,77,4656.63,118.5970149,-76.89046049,41.75550284,2354.059701,0.113071119,3531.089552,31228.92537,1.5,0
373,57045,WT,SD,WNC,MRO,789292,89246,57045,IPP Non-CHP,AE Power Services LLC,25,25,25,10,2500,80,89,6221.14,124.4,-99.1361022,44.4766326,3569.84,0.113070955,8924.6,78929.2,2.5,2
374,57047,WT,MN,WNC,MRO,3042071,343970,57047,Electric Utility,Northern States Power Co - Minnesota,201,200,200,134,1500,80,77,4656.63,118.6,-95.78957449,43.6838723,1711.293532,0.113070997,2566.940299,22702.02239,1.5,0
375,57048,WT,ND,WNC,MRO,4435876,501569,57048,Electric Utility,Otter Tail Power Co,150,150,150,75,2000,80,110,9503.32,135,-99.04656997,46.11381768,3343.793333,0.113071015,6687.586667,59145.01333,2,1
376,57049,WT,MT,MTN,WECC,2353450,266107,57049,IPP Non-CHP,NaturEner Glacier Wind Energy 1 LLC,106.5,104.2,104.2,71,1500,80,77,4656.63,118.6,-112.1188751,48.51377252,2498.657277,0.113071023,3747.985915,33147.1831,1.5,0
377,57050,WT,MT,MTN,WECC,2507664,283544,57050,IPP Non-CHP,NaturEner Glacier Wind Energy 2 LLC,103.5,101.4,101.4,69,1500,80,77,4656.63,118.6,-112.1932655,48.54109807,2739.555556,0.11307097,4109.333333,36342.95652,1.5,1
378,57078,WT,NY,MAT,NPCC,542268,61315,57078,IPP Non-CHP,"Evergreen Wind, LLC",15,15,15,6,2500,80,96,7238.23,128,-78.8622164,42.808312,4087.666667,0.113071396,10219.16667,90378,2.5,2
379,57079,WT,UT,MTN,WECC,3676513,415707,57079,IPP Non-CHP,Longroad Energy Services LLC,203.5,203.5,203.5,97,2097.938144,80,92.36597938,6752.012371,126.2030928,-112.9348136,38.53568075,2042.786241,0.113071,4285.639175,37902.19588,2.097938144,0
380,57080,WT,VT,NEW,NPCC,543606,61466,57080,IPP Non-CHP,"Evergreen Wind, LLC",40,40,40,16,2500,80,93.75,6904.24,126.875,-72.10125506,44.67597431,1536.65,0.113070864,3841.625,33975.375,2.5,0
381,57082,WT,HI,PACN,,514650,58192,57082,IPP Non-CHP,"Evergreen Wind, LLC",21,21,21,14,1500,65,77,4656.63,103.6,-156.5358324,20.79466143,2771.047619,0.113071019,4156.571429,36760.71429,1.5,1
382,57083,WT,ME,NEW,NPCC,837251,94669,57083,IPP Non-CHP,"Evergreen Wind, LLC",34.5,34.5,34.5,19,1800,95,100,7853.98,145.1,-68.15921063,44.71700137,2744.028986,0.11307123,4982.578947,44065.84211,1.815789474,1
383,57087,WT,HI,PACN,,390951,44205,57087,IPP Non-CHP,"Evergreen Wind, LLC",30,30,30,12,2500,80,96,7238.23,128,-157.9747048,21.6809635,1473.5,0.113070436,3683.75,32579.25,2.5,0
384,57090,WT,WY,MTN,WECC,2666747,301532,57090,IPP Non-CHP,Duke Energy DEGS Campbell Hill,99,99,99,66,1500,80,77,4656.63,118.6,-106.0008781,43.01491876,3045.777778,0.113071094,4568.666667,40405.25758,1.5,1
385,57091,WT,WY,MTN,WECC,909977,102892,57091,IPP Non-CHP,Duke Energy DEGS Silver Sage Wndpwr LLC,42,42,42,20,2100,79,88,6082.12,123.1,-105.0279388,41.13031765,2449.809524,0.11307099,5144.6,45498.85,2.1,1
386,57093,WT,WY,MTN,WECC,129874,14685,57093,IPP Non-CHP,Chevron USA,17,17,17,11,1500,80,77,4656.63,118.6,-106.2186979,42.887266,863.8235294,0.11307113,1335,11806.72727,1.545454545,0
387,57094,WT,IL,ENC,RFC,6536053,739038,57094,IPP Non-CHP,Avangrid Renewables LLC,300,300,300,150,2000,78.08,87,5944.68,121.6793333,-88.43775522,40.97485053,2463.46,0.113070993,4926.92,43573.68667,2,1
388,57095,WT,TX,WSC,TRE,2231837,252356,57095,IPP Non-CHP,Avangrid Renewables LLC,201.6,201.6,201.6,84,2400,80,92,6647.61,125.9,-97.5667725,27.11490512,1251.765873,0.113070981,3004.238095,26569.4881,2.4,0
389,57096,WT,OR,PACC,WECC,2092217,236569,57096,IPP Non-CHP,Avangrid Renewables LLC,98.7,98.7,98.7,47,2100,79,88,6082.12,123.1,-120.4887986,45.50599832,2396.849037,0.113070967,5033.382979,44515.25532,2.1,1
390,57097,WT,ND,WNC,MRO,3637768,411326,57097,IPP Non-CHP,Avangrid Renewables LLC,149,149,149,71,2100,79,88,6082.12,123.1,-99.95124649,48.50704111,2760.577181,0.113070982,5793.323944,51236.16901,2.098591549,1
391,57098,WT,AZ,MTN,WECC,1048095,118509,57098,IPP Non-CHP,Avangrid Renewables LLC,63,63,63,30,2100,79,88,6082.12,123.1,-110.2845757,34.65490177,1881.095238,0.113070857,3950.3,34936.5,2.1,0
392,57106,WT,NM,MTN,MRO,16963,1918,57106,Commercial Non-CHP,Mesalands Community College,1.5,1.5,1.5,1,1500,80,77,4656.63,118.6,-103.738991,35.169693,1278.666667,0.113069622,1918,16963,1.5,0
393,57107,WT,UT,MTN,WECC,1762708,199311,57107,IPP Non-CHP,Milford Wind Corridor Stage II LLC,102,102,102,68,1500,80,77,4656.63,118.6,-112.9308347,38.58522041,1954.029412,0.113070911,2931.044118,25922.17647,1.5,0
394,57108,WT,OK,WSC,MRO,2567546,290315,57108,IPP Non-CHP,Blue Canyon Windpower V LLC,99,99,99,66,1500,80,77,4656.63,118.6,-98.47270167,34.82014908,2932.474747,0.113071002,4398.712121,38902.21212,1.5,1
395,57109,WT,IN,ENC,RFC,3656411,413434,57109,IPP Non-CHP,Meadow Lake Wind Farm LLC,199.7,199.7,199.7,121,1650,80,82,5281.02,121,-86.93537611,40.63820943,2070.275413,0.113070987,3416.809917,30218.27273,1.650413223,0
396,57110,WT,IL,ENC,RFC,2186468,247226,57110,IPP Non-CHP,Blackstone Wind Farm LLC,106,106,106,68,1500,80,77,4656.63,118.6,-88.61504163,41.13534234,2332.320755,0.113070944,3635.676471,32153.94118,1.558823529,0
397,57111,WT,IA,WNC,MRO,2668279,301705,57111,IPP Non-CHP,Lost Lakes Wind Farm LLC,100,100,100,61,1650,80,82,5281.02,121,-95.27757236,43.34363928,3017.05,0.113071009,4945.983607,43742.27869,1.639344262,1
398,57112,WT,IN,ENC,RFC,1942630,219655,57112,IPP Non-CHP,Meadow Lake Wind Farm II LLC,102.3,102.3,102.3,66,1500,80,82,5281.02,121,-87.03234714,40.64270291,2147.1652,0.11307094,3328.106061,29433.78788,1.55,0
399,57113,WT,IL,ENC,RFC,4620133,522403,57113,IPP Non-CHP,Blackstone Wind Farm II LLC,200,200,200,132,1500,80,77,4656.63,118.6,-88.53868195,41.16239508,2612.015,0.113070987,3957.598485,35001.00758,1.515151515,1
400,57115,WT,IN,ENC,RFC,2067560,233781,57115,IPP Non-CHP,Meadow Lake Wind Farm III LLC,103.5,103.5,103.5,69,1500,80,77,4656.63,118.6,-87.02035048,40.60271403,2258.753623,0.113070963,3388.130435,29964.63768,1.5,0
401,57116,WT,WI,ENC,MRO,3215784,363612,57116,IPP Non-CHP,Quilt Block Wind Farm LLC,98,98,98,49,2000,95,110,9503.32,150,-90.2514509,42.65567386,3710.326531,0.113071027,7420.653061,65628.2449,2,1
402,57118,WT,KS,WNC,MRO,124196,14043,57118,IPP Non-CHP,"Greensburg Wind Farm, LLC",12.5,12.5,12.5,10,1250,72,64,3216.99,103.9,-99.3438942,37.5498872,1123.44,0.113071274,1404.3,12419.6,1.25,0
403,57120,WT,ND,WNC,MRO,1807181,204340,57120,IPP Non-CHP,Wilton Wind II LLC,49.5,49.5,49.5,33,1500,80,91,6503.88,125.6,-100.6627162,47.11742682,4128.080808,0.113071131,6192.121212,54763.06061,1.5,1
404,57121,WT,ND,WNC,MRO,3216952,363744,57121,IPP Non-CHP,Ashtabula Wind II LLC,120,120,120,80,1500,80,77,4656.63,118.6,-97.94569835,47.2958647,3031.2,0.113071006,4546.8,40211.9,1.5,1
405,57124,WT,ID,MTN,WECC,598897,67718,57124,IPP Non-CHP,Idaho Wind Partners 1 LLC,21,21,21,14,1500,80,82.5,5345.62,121.3,-115.0096789,42.82478714,3224.666667,0.113071196,4837,42778.35714,1.5,1
406,57125,WT,ID,MTN,WECC,628197,71031,57125,IPP Non-CHP,Idaho Wind Partners 1 LLC,22.5,22.5,22.5,15,1500,80,82.5,5345.62,121.3,-115.057775,42.8162008,3156.933333,0.113071218,4735.4,41879.8,1.5,1
