Plant Id,"Reported
Prime Mover",Plant State,Census Region,NERC Region,"Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",Plant Code,Sector Name,Utility Name,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Number of Turbines,turbine_capacity (KW),hub_height (m),rotor_diameter (m),rotor_swept area (m2),max_height (m),xlong,ylat,plant_id_x,operation_years_x,CAGR_netgen,plant_id_y,operation_years_y,CACR,plant_id,operation_years,CACR_uptime,uptime,efficiency,avg_tgen,avg_fuel,avg_tcap
56560,WT,TX,WSC,MRO,196596,22229.0,56560,IPP Non-CHP,Stockyard Wind,79.8,79.8,79.8,38,2100.0,79.0,88.0,6082.12,123.10000000000001,-101.37542760526316,36.392496289473684,56560,10,-23.14466502,56560,10,-0.755588588229128,56560,9,-26.20927901,278.55889724310777,0.11306944190115771,584.9736842105264,5173.578947368421,2.1
56561,WT,TX,WSC,MRO,2495,282.0,56561,IPP Non-CHP,Stockyard Wind,10.0,10.0,10.0,8,1250.0,73.0,64.0,3216.99,104.9,-101.86860287500001,36.445496,56561,10,-39.93518586,56561,10,-0.7511583483508222,56561,9,-44.25352745,28.2,0.11302605210420842,35.25,311.875,1.25
56562,WT,TX,WSC,MRO,14192,1605.0,56562,IPP Non-CHP,Stockyard Wind,10.0,10.0,10.0,8,1250.0,72.0,64.0,3216.99,103.9,-101.8140525,36.466994,56562,10,-28.32453657,56562,10,-0.7578299603667515,56562,9,-31.08786652,160.5,0.11309188275084554,200.625,1774.0,1.25
56563,WT,CO,MTN,WECC,5515588,623653.0,56563,IPP Non-CHP,FPL Peetz Table Wind Energy,199.5,199.5,199.5,133,1600.0,80.0,91.0,6503.88,125.5,-103.39723472180451,40.97502892481203,56563,10,-0.745791932,56563,10,-0.755719049194814,56563,9,0.09927504,3126.0802005012533,0.11307099079916774,4689.12030075188,41470.58646616541,1.5
56573,WT,ND,WNC,MRO,1697995,191994.0,56573,IPP Non-CHP,FPL Energy Oliver County Wind II LLC,48.0,48.0,48.0,32,1600.0,80.0,91.0,6503.88,125.5,-101.21019890625,47.16117025,56573,10,2.599082431,56573,10,-0.7557233343596703,56573,9,0.429485381,3999.875,0.11307100433157931,5999.8125,53062.34375,1.5
56575,WT,NY,MAT,NPCC,542268,61315.0,56575,IPP Non-CHP,"Evergreen Wind, LLC",20.0,20.0,20.0,8,2500.0,80.0,93.0,6792.91,126.5,-78.867636625,42.8179025,56575,10,1.761513591,56575,10,-0.7557229132010956,56575,9,3.427797792,3065.75,0.1130713964312849,7664.375,67783.5,2.5
56577,WT,MN,WNC,MRO,54560,6169.0,56577,IPP Non-CHP,Shane's Wind Machine LLC,1.3,1.3,1.3,1,750.0,53.0,50.0,1963.5,78.0,-96.136215,44.150887,56577,10,-2.295532984,56577,10,-0.7554606336481196,56577,9,-3.773727733,4745.384615384615,0.11306818181818182,6169.0,54560.0,1.3
56590,WT,MN,WNC,MRO,22880,2587.0,56590,IPP Non-CHP,Midwest Power Partners LLC,1.3,1.3,1.3,1,1250.0,74.1,64.0,3216.99,106.16,-95.77806100000001,43.5834544,56590,10,-4.299225607,56590,10,-0.75522672446805,56590,9,-5.801604485,1990.0,0.11306818181818182,2587.0,22880.0,1.3
56591,WT,MT,MTN,WECC,236400,26730.0,56591,IPP Non-CHP,Cycle Power Partners,9.0,9.0,9.0,6,1500.0,80.0,77.0,4656.63,118.59999999999998,-111.43786999999999,47.50050933333333,56591,10,0.917824293,56591,10,-0.7556534488743494,56591,9,1.936354532,2970.0,0.11307106598984772,4455.0,39400.0,1.5
56592,WT,TX,WSC,TRE,2775096,313783.0,56592,IPP Non-CHP,RWE Renewables Americas LLC,126.5,126.5,126.5,55,2300.0,80.0,93.0,6792.91,126.5,-100.61237254545453,32.39349276363637,56592,10,-2.475554075,56592,10,-0.7557243477525843,56592,9,-3.183812356,2480.498023715415,0.11307104330805133,5705.145454545454,50456.29090909091,2.3
56593,WT,TX,WSC,TRE,4233472,478683.0,56593,IPP Non-CHP,RWE Renewables Americas LLC,209.0,209.0,209.0,209,1000.0,69.0,61.4,2960.92,99.7,-100.66147325358853,32.47294622488038,56593,10,-1.755620982,56593,10,-0.7557185167146319,56593,9,-2.618754493,2290.349282296651,0.11307102066577977,2290.349282296651,20255.846889952154,1.0
56594,WT,NY,MAT,NPCC,699710,79117.0,56594,IPP Non-CHP,RWE Renewables Americas LLC,34.5,34.5,34.5,23,1500.0,80.0,77.0,4656.63,118.6,-75.55895891304348,42.92641278260869,56594,10,-1.349136895,56594,10,-0.7557348608204895,56594,9,-2.445805485,2293.246376811594,0.11307112946792243,3439.8695652173915,30422.17391304348,1.5
56602,WT,TX,WSC,TRE,13602,1538.0,56602,IPP Non-CHP,Snyder Wind Farm LLC,63.0,63.0,63.0,21,3000.0,105.0,90.0,6361.73,150.0,-100.73650685714286,32.73826038095238,56602,10,-40.11837366,56602,10,-0.7556188936537089,56602,9,-44.17460917,24.41269841269841,0.1130716071166005,73.23809523809524,647.7142857142857,3.0
56605,WT,ND,WNC,MRO,4464159,504767.0,56605,IPP Non-CHP,FPL Energy Langdon Wind LLC,118.5,118.5,118.5,106,1600.9756097560976,80.0,87.36585365853658,6013.25743902439,123.71219512195121,-98.30500937804878,48.62139918292683,56605,10,2.116430997,56605,10,-0.7557236395256517,56605,9,5.753532632,4259.637130801688,0.1130710174077581,4761.952830188679,42114.70754716981,1.1179245283018868
56607,WT,ND,WNC,MRO,2944530,332941.0,56607,Electric Utility,Basin Electric Power Coop,115.5,115.5,115.5,77,1500.0,80.0,77.14285714285714,4674.525844155844,118.67012987012987,-101.26996111688312,47.94082976623376,56607,10,-2.545495284,56607,10,-0.7557198916808061,56607,9,-4.202218213,2882.6060606060605,0.11307101642706985,4323.909090909091,38240.64935064935,1.5
56608,WT,SD,WNC,MRO,3321809,375600.0,56608,Electric Utility,Basin Electric Power Coop,162.0,172.0,172.0,108,1500.0,80.0,77.0,4656.63,118.59907407407407,-98.77696640740741,43.90100590740741,56608,10,-5.158806863,56608,10,-0.7557111219106294,56608,9,-7.185518946,2318.5185185185187,0.11307092009203419,3477.777777777778,30757.49074074074,1.5
56613,WT,CO,MTN,WECC,3432720,388141.0,56613,IPP Non-CHP,Logan Wind Energy LLC,201.0,201.0,201.0,134,1500.0,80.0,77.0,4656.63,118.6,-103.24778068656715,40.9489787761194,56613,10,-4.95862013,56613,10,-0.7557182748833657,56613,9,-5.141684612,1931.0497512437812,0.11307097578596564,2896.5746268656717,25617.31343283582,1.5
56614,WT,IL,ENC,RFC,4951074,559823.0,56614,IPP Non-CHP,Old Trail Wind Farm LLC,213.8,213.8,213.8,120,1650.0,80.0,82.0,5281.02,121.0,-88.57617791666667,40.451641816666665,56614,10,-0.55525917,56614,10,-0.7557219668789639,56614,9,-1.516397453,2618.4424695977546,0.11307102257005247,4665.191666666667,41258.95,1.7816666666666667
56617,WT,MN,WNC,MRO,2729878,308670.0,56617,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",205.5,205.5,205.5,137,1500.0,80.0,77.0,4656.63,118.6,-95.9500995620438,43.87365573722627,56617,10,-8.210183405,56617,10,-0.7557172881833552,56617,9,-10.49210225,1502.043795620438,0.11307098705509916,2253.065693430657,19926.116788321167,1.5
56618,WT,NY,MAT,NPCC,1338806,151380.0,56618,IPP Non-CHP,"Valcour Operating Services, LLC",100.5,100.5,100.5,67,1500.0,80.0,77.0,4656.63,118.6,-73.99393073134327,44.921359835820894,56618,10,-1.678018422,56618,10,-0.7557003918025496,56618,9,-2.5547846,1506.2686567164178,0.11307090048894314,2259.402985074627,19982.17910447761,1.5
56619,WT,NY,MAT,NPCC,1255104,141916.0,56619,IPP Non-CHP,"Valcour Operating Services, LLC",81.0,81.0,81.0,54,1500.0,80.0,77.0,4656.63,118.6,-73.97373362962963,44.86983174074074,56619,10,-1.622994724,56619,10,-0.7557230128772408,56619,9,-2.693037142,1752.0493827160494,0.1130711080516037,2628.074074074074,23242.666666666668,1.5
56620,WT,NY,MAT,NPCC,1552095,175497.0,56620,IPP Non-CHP,"Valcour Operating Services, LLC",100.5,100.5,100.5,67,1500.0,80.0,77.0,4656.63,118.6,-78.25864031343284,42.5451171641791,56620,10,-1.633465838,56620,10,-0.7557216590034277,56620,9,-2.016147506,1746.2388059701493,0.11307104268746436,2619.3582089552237,23165.597014925374,1.5
56621,WT,OK,WSC,MRO,804505,90966.0,56621,IPP Non-CHP,NRG Energy Gas & Wind Holdings Inc,94.5,94.5,94.5,45,2100.0,79.0,88.0,6082.120000000001,123.1,-99.49987682222222,36.6380444,56621,10,-12.68565594,56621,10,-0.7556905903400413,56621,9,-14.21002851,962.6031746031746,0.11307077022516951,2021.4666666666667,17877.88888888889,2.1
56622,WT,IL,ENC,RFC,1534664,173526.0,56622,IPP Non-CHP,Avangrid Renewables LLC,72.0,72.0,72.0,36,2000.0,80.0,87.0,5944.68,123.40000000000002,-89.58569272222222,41.23224422222222,56622,10,0.832683194,56622,10,-0.7557143203234973,56622,9,0.363903087,2410.0833333333335,0.11307100446742739,4820.166666666667,42629.555555555555,2.0
56623,WT,OR,PACC,WECC,3047075,344536.0,56623,IPP Non-CHP,Telocaset Wind Power Partners,100.7,100.7,100.7,61,1650.0,70.0,82.0,5281.02,110.9,-117.80782603278689,45.08408262295082,56623,10,1.539205838,56623,10,-0.7557225960095448,56623,9,2.032050917,3421.410129096326,0.11307105995093655,5648.131147540984,49952.04918032787,1.6508196721311477
56630,WT,MN,WNC,MRO,487995,55178.0,56630,Electric Utility,"ALLETE, Inc.",25.0,25.0,25.0,10,2500.0,80.0,96.0,7238.229999999999,128.0,-92.59941180000001,47.573582099999996,56630,10,-0.14255432,56630,10,-0.7557193602786949,56630,9,-2.326148077,2207.12,0.1130708306437566,5517.8,48799.5,2.5
56633,WT,NY,MAT,NPCC,445155,50334.0,56633,IPP Non-CHP,"Evergreen Wind, LLC",37.5,37.5,37.5,15,2500.0,80.0,96.0,7238.23,128.0,-77.49231013333333,42.534485000000004,56633,10,-3.807005889,56633,10,-0.7557070574060187,56633,9,-5.388664526,1342.24,0.11307072817333289,3355.6,29677.0,2.5
56634,WT,NY,MAT,NPCC,1038692,117446.0,56634,IPP Non-CHP,"Evergreen Wind, LLC",87.5,87.5,87.5,35,2500.0,80.0,96.0,7238.23,128.0,-77.43859117142857,42.53243751428571,56634,10,-3.996993887,56634,10,-0.7557287311010685,56634,9,-5.324379924,1342.24,0.11307105474962742,3355.6,29676.914285714287,2.5
56635,WT,MI,ENC,RFC,973777,110106.0,56635,IPP Non-CHP,"Harvest Windfarm, LLC",52.8,52.8,52.8,32,1650.0,80.0,82.0,5281.02,121.0,-83.20871065625,43.83788859375,56635,10,-1.162589905,56635,10,-0.7557185826409407,56635,9,-2.288034439,2085.340909090909,0.1130710624711818,3440.8125,30430.53125,1.65
56636,WT,ID,MTN,WECC,306136,34615.0,56636,IPP Non-CHP,"Hot Springs Windfarm, LLC",21.0,21.0,21.0,10,2100.0,79.0,88.0,6082.12,123.1,-115.4654174,43.0299541,56636,10,-1.271160323,56636,10,-0.755696683979401,56636,9,-2.228214528,1648.3333333333333,0.11307066140538845,3461.5,30613.6,2.1
56637,WT,ID,MTN,WECC,364947,41265.0,56637,IPP Non-CHP,Bennett Creek Windfarm LLC,21.0,21.0,21.0,10,2100.0,79.0,88.0,6082.12,123.1,-115.48172609999999,43.0514244,56637,10,-0.302076322,56637,10,-0.7556849763837525,56637,9,-0.999766077,1965.0,0.11307121308025549,4126.5,36494.7,2.1
56638,WT,TX,WSC,TRE,2858184,323178.0,56638,IPP Non-CHP,AES Wind Generation Inc,170.2,170.2,170.2,74,2300.0,80.0,93.0,6792.91,126.5,-100.1587522972973,32.295966324324326,56638,10,-4.513126524,56638,10,-0.7557308244307781,56638,9,-5.593184025,1898.813160987074,0.11307109689229244,4367.27027027027,38624.10810810811,2.3
56640,WT,IL,ENC,RFC,3614081,408648.0,56640,IPP Non-CHP,Orion Energy Group LLC,150.0,150.0,150.0,100,1500.0,80.0,77.0,4656.63,118.6,-89.62315808,41.077169780000006,56640,10,1.549325593,56640,10,-0.7557258693452917,56640,9,-0.313410727,2724.32,0.11307106841268914,4086.48,36140.81,1.5
56644,WT,TX,WSC,TRE,1990730,225094.0,56644,IPP Non-CHP,Invenergy Services LLC,120.0,120.0,120.0,80,1500.0,80.0,77.0,4656.63,118.6,-101.8146298125,32.2102647875,56644,10,-5.401694591,56644,10,-0.7557281028337193,56644,9,-6.798586849,1875.7833333333333,0.1130710844765488,2813.675,24884.125,1.5
56645,WT,IA,WNC,MRO,3250666,367556.0,56645,IPP Non-CHP,Osceola Windpower LLC,98.2,98.2,98.2,40,2475.0,80.0,116.0,10568.32,138.1,-95.44218997499999,43.450657675,56645,10,2.071570325,56645,10,-0.7557178584768343,56645,9,1.353799106,3742.9327902240325,0.11307098299240832,9188.9,81266.65,2.455
56647,WT,WI,ENC,MRO,1164242,131642.0,56647,IPP Non-CHP,Butler Ridge Wind Energy Center,54.0,54.0,54.0,36,1500.0,80.0,82.5,5345.62,121.30000000000001,-88.48083383333334,43.40998625,56647,10,-1.602126854,56647,10,-0.7557241164160566,56647,9,-2.160547165,2437.814814814815,0.11307099383117943,3656.722222222222,32340.055555555555,1.5
56648,WT,TX,WSC,MRO,3120755,352867.0,56648,IPP Non-CHP,NextEra Energy Majestic Wind,79.5,79.5,79.5,53,1600.0,80.0,91.0,6503.88,125.5,-101.52562532075471,35.403326188679245,56648,10,1.644778724,56648,10,-0.7557004819448987,56648,9,0.684344464,4438.578616352202,0.11307103569488794,6657.867924528302,58882.16981132075,1.5
56649,WT,TX,WSC,TRE,2161457,244398.0,56649,IPP Non-CHP,NRG Energy Inc,101.2,101.2,101.2,44,2300.0,80.0,82.25,5315.381136363637,121.125,-100.18198075,32.41571425,56649,10,-3.387526272,56649,10,-0.7557146206509713,56649,9,-4.282910286,2415.0,0.11307095167750272,5554.5,49124.02272727273,2.3000000000000003
56650,WT,SD,WNC,MRO,1927373,217930.0,56650,IPP Non-CHP,Wessington Wind,51.0,51.0,51.0,34,1500.0,80.0,91.0,6503.88,125.6,-98.5967795882353,44.00078714705882,56650,10,0.867681102,56650,10,-0.7557338555657878,56650,9,0.020265797,4273.137254901961,0.11307100390012727,6409.705882352941,56687.44117647059,1.5
56651,WT,PA,MAT,RFC,1264541,142983.0,56651,IPP Non-CHP,Duke Energy DEGS North Allegheny,70.0,70.0,70.0,35,2000.0,78.0,87.0,5944.68,121.59705882352942,-78.57028382352941,40.40765276470589,56651,10,0.180188739,56651,10,-0.7557240807447241,56651,9,-1.396461754,2042.6142857142856,0.11307106689304657,4085.2285714285713,36129.74285714285,2.0
56654,WT,CA,PACC,WECC,2516841,284582.0,56654,IPP Non-CHP,Pattern Operators LP,101.2,101.2,101.2,44,2300.0,80.0,93.0,6792.91,126.5,-121.7940564090909,40.890406704545455,56654,10,0.171655184,56654,10,-0.7557315383335039,56654,9,-0.469992164,2812.075098814229,0.1130711077894869,6467.772727272727,57200.931818181816,2.3000000000000003
56659,WT,MI,ENC,RFC,2813781,318157.0,56659,IPP Non-CHP,"Michigan Wind 2, LLC",90.0,90.0,90.0,50,1800.0,95.0,100.0,7853.98,145.1,-82.73299413999999,43.63583800000001,56659,10,2.697943524,56659,10,-0.7557174589010729,56659,9,0.568189346,3535.0777777777776,0.1130709888225132,6363.14,56275.62,1.8
56661,WT,TX,WSC,TRE,5002688,565659.0,56661,IPP Non-CHP,Pattern Operators LP,283.2,283.2,283.2,118,2337.2881355932204,80.0,102.03389830508475,8223.728474576272,131.04237288135593,-97.57358949152542,26.97218595762712,56661,10,-3.932640179,56661,10,-0.7557194781876553,56661,9,-2.928091836,1997.3834745762713,0.11307101302339861,4793.720338983051,42395.661016949154,2.4
56665,WT,OK,WSC,MRO,2578619,291567.0,56665,IPP Non-CHP,Acciona Wind Energy USA LLC,132.0,132.0,132.0,66,2000.0,78.0,90.0,6361.73,123.1,-99.81704481818181,35.53833181818182,56665,10,-3.334333434,56665,10,-0.755720319005071,56665,9,-5.192518262,2208.840909090909,0.11307098877344811,4417.681818181818,39069.98484848485,2.0
56666,WT,WA,PACC,WECC,2619981,296244.0,56666,Electric Utility,PacifiCorp,103.4,94.0,94.0,47,2200.0,85.0,110.0,9503.32,139.9,-120.52115612765958,45.781828063829785,56666,10,2.990848287,56666,10,-0.7557215712420517,56666,9,3.260825168,2865.0290135396517,0.1130710489885232,6303.063829787234,55744.27659574468,2.2
56669,WT,ND,WNC,MRO,1428607,161425.0,56669,IPP Non-CHP,Acciona Wind Energy USA LLC,180.0,180.0,180.0,120,1500.0,80.0,82.0,5281.02,121.0,-98.984790925,45.936221875,56669,10,-13.89792333,56669,10,-1.615514534319551,56669,9,-16.7981697,896.8055555555555,0.11299468643230784,1345.2083333333333,11905.058333333332,1.5
56670,WT,ND,WNC,MRO,246324,27852.0,56670,IPP Non-CHP,Acciona Wind Energy USA LLC,11.9,11.9,11.9,18,660.0,65.0,47.0,1734.94,88.4,-100.90428594117647,48.093638647058825,56670,10,-0.404589211,56670,10,-0.7556728770436894,56670,9,-2.352084479,2340.5042016806724,0.11307058995469382,1547.3333333333333,13684.666666666666,0.6611111111111111
56673,WT,TX,WSC,TRE,1597439,180624.0,56673,IPP Non-CHP,Whirlwind Energy LLC,59.8,57.0,57.0,26,2300.0,80.0,93.0,6792.91,126.5,-101.09631115384614,34.11667896153846,56673,10,-1.59047623,56673,10,-0.7557246016511532,56673,9,-3.1582344,3020.4682274247493,0.1130709842441558,6947.076923076923,61439.96153846154,2.3
56677,WT,IA,WNC,MRO,2252699,254715.0,56677,Electric Utility,MidAmerican Energy Co,80.0,80.0,80.0,50,1500.0,80.0,91.5,6575.55,125.9,-92.72640729999999,43.03166024,56677,10,0.950685539,56677,10,-0.7557175415151218,56677,9,-0.105482009,3183.9375,0.1130710316824396,5094.3,45053.98,1.6
56679,WT,IN,ENC,RFC,2949661,333521.0,56679,IPP Non-CHP,Orion Energy Group LLC,130.5,130.5,130.5,87,1500.0,80.0,77.0,4656.63,118.6,-87.48074274712644,40.689833655172414,56679,10,2.503571069,56679,10,-0.7557175633610247,56679,9,8.164145378,2555.7164750957854,0.11307095967977338,3833.574712643678,33904.14942528736,1.5
56699,WT,PA,MAT,RFC,519550,58746.0,56699,IPP Non-CHP,"Forward Windpower, LLC",29.4,29.4,29.4,14,2100.0,79.0,88.0,6082.12,123.1,-78.86170085714285,40.098299,56699,10,-0.261713887,56699,10,-0.7557968302152718,56699,9,-0.691633672,1998.1632653061226,0.11307092676354538,4196.142857142857,37110.71428571428,2.1
56700,WT,PA,MAT,RFC,879970,99499.0,56700,IPP Non-CHP,"Lookout Windpower, LLC",37.8,37.8,37.8,18,2100.0,79.0,88.0,6082.12,123.09999999999998,-78.93211927777777,39.86524722222222,56700,10,-0.988320512,56700,10,-0.7556978865628672,56700,9,-1.319029453,2632.2486772486773,0.1130709001443231,5527.722222222223,48887.22222222222,2.0999999999999996
56702,WT,WA,PACC,WECC,3548654,401250.0,56702,Electric Utility,Turlock Irrigation District,136.3,136.3,136.3,62,2203.2258064516127,80.0,92.83870967741936,6769.41,126.40322580645162,-120.67767861290322,45.75871229032258,56702,10,0.989478635,56702,10,-0.7557242208646953,56702,9,0.448902936,2943.873807776962,0.11307104045646603,6471.774193548387,57236.354838709674,2.198387096774194
56750,WT,MN,WNC,MRO,1532682,173302.0,56750,Electric Utility,Northern States Power Co - Minnesota,50.0,50.0,50.0,20,2100.0,80.0,110.0,9503.32,135.0,-95.25642975,44.0565136,56750,10,0.845725134,56750,10,-0.7557288188563716,56750,9,-0.101881549,3466.04,0.11307107410408682,8665.1,76634.1,2.5
56751,WT,UT,MTN,WECC,403500,45624.0,56751,IPP Non-CHP,"Spanish Fork Wind Park 2, LLC",18.9,18.9,18.9,9,2100.0,79.0,88.0,6082.12,123.09999999999998,-111.58385466666667,40.07317222222222,56751,10,-0.098631202,56751,10,-0.7556909532533296,56751,9,0.231997488,2413.968253968254,0.11307063197026022,5069.333333333333,44833.333333333336,2.0999999999999996
56752,WT,WY,MTN,WECC,1838695,207903.0,56752,IPP Non-CHP,Mountain Wind Power LLC,61.0,61.0,61.0,29,2100.0,79.0,88.0,6082.120000000001,123.1,-110.50300837931034,41.289517206896555,56752,10,2.469180626,56752,10,-0.7557181353011422,56752,9,1.023627154,3408.245901639344,0.1130709552155197,7169.068965517241,63403.275862068964,2.103448275862069
56753,WT,WY,MTN,WECC,1419798,160538.0,56753,IPP Non-CHP,Mountain Wind Power II LLC,80.0,80.0,80.0,38,2100.0,79.0,88.0,6082.12,123.10000000000001,-110.54418160526316,41.2685885,56753,10,-3.816012396,56753,10,-0.7557125483992455,56753,9,-5.656635239,2006.725,0.11307101432739024,4224.684210526316,37363.10526315789,2.1052631578947367
56754,WT,TX,WSC,TRE,3429995,387833.0,56754,IPP Non-CHP,Goat Wind LP,149.6,149.6,149.6,109,1372.4770642201836,71.92660550458716,69.54128440366972,3941.78247706422,106.67064220183487,-100.80179866055046,31.950249082568806,56754,10,-0.938736678,56754,10,-0.7557199697818651,56754,9,-1.151504599,2592.466577540107,0.1130710103075952,3558.1009174311926,31467.844036697246,1.3724770642201833
56755,WT,MN,WNC,MRO,451027,50998.0,56755,IPP Non-CHP,NRG Energy Gas & Wind Holdings Inc,20.0,20.0,20.0,10,2000.0,79.0,88.0,6082.12,123.1,-94.8596824,43.8625561,56755,10,-2.330770876,56755,10,-0.7557403987364708,56755,9,-3.077466879,2549.9,0.11307083611402421,5099.8,45102.7,2.0
56763,WT,TX,WSC,TRE,18174324,2054989.0,56763,IPP Non-CHP,Capricorn Ridge Wind LLC,662.5,662.5,662.5,407,1627.7641277641278,80.0,93.43980343980344,6889.745847665848,126.8061425061425,-100.92882953316953,31.931614398034398,56763,10,0.392409344,56763,10,-0.7557189015137689,56763,9,-0.070306613,3101.870188679245,0.11307100060502938,5049.113022113022,44654.358722358724,1.6277641277641277
56764,WT,IA,WNC,MRO,522168,59042.0,56764,IPP Non-CHP,Avangrid Renewables LLC,20.0,20.0,20.0,10,2000.0,78.0,83.0,5410.61,119.5,-93.7705428,43.3172164,56764,10,-1.119348553,56764,10,-0.7557415084511021,56764,9,-1.79223574,2952.1,0.11307088906252394,5904.2,52216.8,2.0
56765,WT,IA,WNC,MRO,2941901,332644.0,56765,IPP Non-CHP,Avangrid Renewables LLC,160.0,160.0,160.0,80,2000.0,78.0,87.0,5944.68,121.6,-93.08761530000001,43.3932908125,56765,10,-0.865556769,56765,10,-0.7557316800465119,56765,9,-1.453814609,2079.025,0.11307110606373226,4158.05,36773.7625,2.0
56767,WT,MO,WNC,SERC,1804254,204009.0,56767,IPP Non-CHP,Avangrid Renewables LLC,146.0,146.0,146.0,73,2000.0,78.0,87.0,5944.68,121.6,-95.45311028767124,40.55612779452055,56767,10,-5.277434084,56767,10,-0.755728567454883,56767,9,-4.009456732,1397.3219178082193,0.11307110861331054,2794.6438356164385,24715.80821917808,2.0
56770,WT,PA,MAT,RFC,1682959,190294.0,56770,IPP Non-CHP,Avangrid Renewables LLC,102.0,102.0,102.0,51,2000.0,78.0,84.01960784313725,5546.745490196079,120.03529411764707,-76.22844650980392,40.83160503921569,56770,10,-1.215867479,56770,10,-0.7557347669477021,56770,9,-1.923688794,1865.6274509803923,0.11307108491650718,3731.2549019607845,32999.19607843137,2.0
56771,WT,TX,WSC,TRE,1863210,210675.0,56771,IPP Non-CHP,Silver Star I Power Partners LLC,52.8,52.8,52.8,24,2000.0,80.0,110.0,9503.32,135.0,-98.473605125,32.333815333333334,56771,10,2.229270328,56771,10,-0.7557252991695851,56771,9,3.443262228,3990.0568181818185,0.11307099038755695,8778.125,77633.75,2.1999999999999997
56773,WT,TX,WSC,TRE,3612306,408447.0,56773,IPP Non-CHP,Invenergy Services LLC,150.0,150.0,150.0,100,1500.0,80.0,77.0,4656.63,118.6,-100.98416878,33.763958550000005,56773,10,-3.804005625,56773,10,-0.7557160634646287,56773,9,-4.610899702,2722.98,0.11307098568061509,4084.47,36123.06,1.5
56774,WT,TX,WSC,TRE,3101345,350672.0,56774,IPP Non-CHP,Invenergy Services LLC,169.5,169.5,169.5,113,1500.0,80.0,77.0,4656.63,118.6,-100.24621659292035,32.20688133628318,56774,10,-4.164270954,56774,10,-0.7557135358617129,56774,9,-4.907738881,2068.8613569321533,0.11307094180105728,3103.29203539823,27445.53097345133,1.5
56775,WT,TX,WSC,TRE,1892448,213981.0,56775,IPP Non-CHP,Invenergy Services LLC,120.0,120.0,120.0,80,1500.0,80.0,77.0,4656.63,118.6,-100.81512699999999,32.7300226125,56775,10,-6.814841968,56775,10,-0.755723187402102,56775,9,-7.907011444,1783.175,0.11307100644244915,2674.7625,23655.6,1.5
56776,WT,TX,WSC,TRE,4134861,467533.0,56776,IPP Non-CHP,Invenergy Services LLC,120.0,120.0,120.0,67,1790.0,80.0,100.0,7853.979999999999,130.1,-101.44834114925374,32.48637265671642,56776,6,-1.385014972,56776,6,-0.6789565687950749,56776,6,-1.385014974,3896.108333333333,0.11307103189200314,6978.104477611941,61714.34328358209,1.791044776119403
56777,WT,IN,ENC,RFC,9688594,1095499.0,56777,IPP Non-CHP,AE Power Services LLC,600.3,600.3,600.3,355,1701.5492957746478,80.0,81.90140845070422,5295.190647887324,120.98816901408449,-87.3498225943662,40.57994044225352,56777,10,-3.308676908,56777,10,-0.7557186600294807,56777,9,-4.102058375,1824.9192070631352,0.11307099874347093,3085.912676056338,27291.81408450704,1.6909859154929576
56782,WT,MT,MTN,MRO,818265,92522.0,56782,Electric Utility,Montana-Dakota Utilities Co,30.0,30.0,30.0,20,1500.0,80.0,77.0,4656.63,118.6,-104.1769184,46.2738692,56782,10,-0.078113823,56782,10,-0.7557209070866988,56782,9,-0.530235422,3084.0666666666666,0.11307094889797314,4626.1,40913.25,1.5
56783,WT,TX,WSC,TRE,3731142,421884.0,56783,IPP Non-CHP,Elbow Creek Wind Project LLC,121.9,121.9,121.9,53,2300.0,80.0,108.0,9160.88,134.1,-101.41413026415094,32.170206188679245,56783,10,1.575484347,56783,10,-0.7557190006133085,56783,9,1.826621361,3460.9023789991793,0.1130710115026445,7960.075471698113,70398.90566037736,2.3000000000000003
56784,WT,KS,WNC,MRO,2934306,331785.0,56784,IPP Non-CHP,"Cloud County Windfarm, LLC",201.0,201.0,201.0,67,3000.0,80.0,90.0,6361.73,125.0,-97.64207571641792,39.42056323880597,56784,10,-6.858584317,56784,10,-0.7557230596749731,56784,9,-8.096093683,1650.6716417910447,0.11307102940184152,4952.014925373134,43795.611940298506,3.0
56789,WT,OR,PACC,WECC,1991307,225159.0,56789,IPP Non-CHP,Avangrid Renewables LLC,98.7,98.7,98.7,47,2100.0,79.0,88.0,6082.12,123.1,-120.12125114893617,45.69167285106383,56789,10,-0.127926413,56789,10,-0.7557088825144942,56789,9,-0.364357583,2281.2462006079027,0.11307096294042054,4790.617021276596,42368.234042553195,2.1
56790,WT,OR,PACC,WECC,1973601,223157.0,56790,IPP Non-CHP,Avangrid Renewables LLC,100.8,100.8,100.8,48,2100.0,79.0,88.0,6082.12,123.09999999999998,-120.58389222916666,45.50689889583333,56790,10,-0.172765055,56790,10,-0.7557106491489329,56790,9,0.566390902,2213.859126984127,0.11307098040586724,4649.104166666667,41116.6875,2.1
56791,WT,CA,PACC,WECC,1308407,147943.0,56791,IPP Non-CHP,Avangrid Renewables LLC,45.0,45.0,45.0,45,1000.0,69.0,61.4,2960.92,99.7,-116.56860637777778,33.937592466666665,56791,10,0.059811053,56791,10,-0.7557252363471489,56791,9,0.732271537,3287.6222222222223,0.11307108567899744,3287.6222222222223,29075.71111111111,1.0
