Plant Id,"Reported
Prime Mover",Plant State,Census Region,NERC Region,"Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",Plant Code,Sector Name,Utility Name,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Number of Turbines,turbine_capacity (KW),hub_height (m),rotor_diameter (m),rotor_swept area (m2),max_height (m),xlong,ylat,plant_id_x,operation_years_x,CAGR_netgen,plant_id_y,operation_years_y,CACR,plant_id,operation_years,CACR_uptime,uptime,efficiency,avg_tgen,avg_fuel,avg_tcap
56301,WT,ID,MTN,WECC,1492868,168800.0,56301,IPP Non-CHP,Invenergy Services LLC,64.5,64.5,64.5,43,1500.0,80.0,77.0,4656.63,118.60000000000001,-111.8432628372093,43.38413572093023,56301,10,1.023991202,56301,10,-0.7557094599525582,56301,9,-1.058057053,2617.0542635658917,0.11307094800076095,3925.5813953488373,34717.86046511628,1.5
56302,WT,CA,PACC,WECC,354610,40096.0,56302,IPP Non-CHP,Terra-Gen Operating Co-Wind,60.3,60.3,60.3,17,3600.0,82.0,136.0,14526.72,150.0,-118.29059742857143,35.06237092857143,56302,10,-12.92737214,56302,10,-0.7556844264082652,56302,9,-15.84107071,664.9419568822555,0.11307069738586052,2358.5882352941176,20859.41176470588,3.5470588235294116
56303,WT,KS,WNC,MRO,2642959,298842.0,56303,IPP Non-CHP,Avangrid Renewables LLC,150.0,150.0,150.0,100,1500.0,80.0,77.0,4656.63,118.6,-96.55169467,37.57968207,56303,10,-6.506325483,56303,10,-0.7557142803860772,56303,9,-7.695140152,1992.28,0.11307099353414109,2988.42,26429.59,1.5
56304,WT,NM,MTN,MRO,2277877,257562.0,56304,IPP Non-CHP,NRG Energy Gas & Wind Holdings Inc,120.0,120.0,120.0,120,1000.0,68.99166666666666,61.4,2960.92,99.7,-103.82089829166667,33.95517443333333,56304,10,-4.639019468,56304,10,-0.7557240920435304,56304,9,-5.431870297,2146.35,0.11307107451368094,2146.35,18982.308333333334,1.0
56307,WT,MN,WNC,MRO,360624,40776.0,56307,IPP Non-CHP,Consolidated Edison Development Inc.,23.3,23.3,23.3,15,1560.0,71.0,79.0,4906.386,110.55999999999999,-92.72393533333334,43.546850533333334,56307,10,-4.145019563,56307,10,-0.7557133985853337,56307,9,-4.511951409,1750.0429184549355,0.1130706774923466,2718.4,24041.6,1.5533333333333335
56308,WT,ID,MTN,WECC,234976,26569.0,56308,IPP Non-CHP,Greenbacker Renewable Energy Corporation,10.5,10.5,10.5,7,1500.0,80.0,77.0,4656.63,118.6,-114.949585,42.85897971428572,56308,10,1.960187748,56308,10,-0.7557043310971623,56308,9,0.877704965,2530.3809523809523,0.11307112215715648,3795.5714285714284,33568.0,1.5
56311,WT,TX,WSC,TRE,4334763,490136.0,56311,IPP Non-CHP,"Leeward Asset Management, LLC",135.0,144.0,144.0,90,1501.111111111111,80.0,77.15555555555555,4677.155,118.67666666666666,-100.43685579999999,32.306847177777776,56311,10,0.656729361,56311,10,-0.7557221437849204,56311,9,1.120254738,3630.637037037037,0.11307100295910065,5445.955555555555,48164.03333333333,1.5
56320,WT,CO,MTN,WECC,1119021,126529.0,56320,IPP Non-CHP,Invenergy Services LLC,60.0,60.0,60.0,40,1500.0,80.0,77.0,4656.63,118.6,-103.019960575,40.963055600000004,56320,10,-5.918078056,56320,10,-0.7557416976858078,56320,9,-5.36607904,2108.8166666666666,0.1130711577351989,3163.225,27975.525,1.5
56322,WT,WA,PACC,WECC,6314820,714023.0,56322,Electric Utility,Puget Sound Energy Inc,272.6,272.6,272.6,149,1829.5302013422818,67.0,80.0,5026.55,107.0,-120.20051744295303,47.03039444966443,56322,10,0.893281596,56322,10,-0.7557185740157624,56322,9,1.18443742,2619.3066764490095,0.11307099806486963,4792.10067114094,42381.342281879195,1.829530201342282
56335,WT,OK,WSC,MRO,2466981,278944.0,56335,IPP Non-CHP,Blue Canyon Windpower II LLC,151.4,151.4,151.4,84,1800.0,67.0,80.0,5026.55,107.0,-98.64006628915662,34.875330686746985,56335,10,-6.930084609,56335,10,-0.7557153086092505,56335,9,-8.067901827,1842.4306472919418,0.11307099649328471,3320.7619047619046,29368.821428571428,1.8023809523809524
56337,WT,TX,WSC,TRE,5595538,632693.0,56337,IPP Non-CHP,"Leeward Asset Management, LLC",241.0,241.0,241.0,181,1330.3867403314916,71.79558011049724,69.43093922651934,3934.7959116022103,106.51104972375691,-100.50118190055248,32.28926478453039,56337,10,-1.215213575,56337,10,-0.7557196166470326,56337,9,-1.609960567,2625.2821576763486,0.11307098620365012,3495.5414364640883,30914.57458563536,1.3314917127071824
56338,WT,IL,ENC,RFC,4781172,540612.0,56338,IPP Non-CHP,High Trail Wind Farm LLC,210.9,210.9,210.9,120,1650.0,80.0,82.0,5281.02,121.0,-88.69465168333333,40.449453358333336,56338,10,-0.759731729,56338,10,-0.7557230051971842,56338,9,-1.707573003,2563.357041251778,0.11307102108018703,4505.1,39843.1,1.7575
