Plant Id,"Reported
Prime Mover",YEAR,Month,Quantity,Elec_Quantity,MMBtuPer_Unit,Tot_MMBtu,Elec_MMBtu,Netgen,date
55805,WT,2021,January,0,0,0,14805,14805,1674,January 2021
55809,WT,2021,January,0,0,0,2679,2679,302.97,January 2021
55816,WT,2021,January,0,0,0,128786,128786,14562.003,January 2021
55871,WT,2021,January,0,0,0,16970,16970,1918.846,January 2021
55944,WT,2021,January,0,0,0,1508,1508,170.521,January 2021
55968,WT,2021,January,0,0,0,389702,389702,44064.005,January 2021
55980,WT,2021,January,0,0,0,0,0,0,January 2021
55981,WT,2021,January,0,0,0,0,0,0,January 2021
55986,WT,2021,January,0,0,0,89687,89687,10141,January 2021
55989,WT,2021,January,0,0,0,42091,42091,4759.23,January 2021
55992,WT,2021,January,0,0,0,408341,408341,46171.584,January 2021
55995,WT,2021,January,0,0,0,11535,11535,1304.328,January 2021
56001,WT,2021,January,0,0,0,135552,135552,15327,January 2021
56002,WT,2021,January,0,0,0,3998,3998,452.023,January 2021
56010,WT,2021,January,0,0,0,187917,187917,21248,January 2021
56011,WT,2021,January,0,0,0,52255,52255,5908.503,January 2021
56012,WT,2021,January,0,0,0,58352,58352,6597.876,January 2021
56052,WT,2021,January,0,0,0,56000,56000,6332,January 2021
56054,WT,2021,January,0,0,0,61133,61133,6912.392,January 2021
56075,WT,2021,January,0,0,0,164034,164034,18547.476,January 2021
56081,WT,2021,January,0,0,0,83359,83359,9425.538,January 2021
56092,WT,2021,January,0,0,0,59184,59184,6692,January 2021
56093,WT,2021,January,0,0,0,363560,363560,41108.132,January 2021
56094,WT,2021,January,0,0,0,104355,104355,11799.531,January 2021
56097,WT,2021,January,0,0,0,457544,457544,51735,January 2021
56099,WT,2021,January,0,0,0,73135,73135,8269.448,January 2021
56106,WT,2021,January,0,0,0,79008,79008,8933.56,January 2021
56111,WT,2021,January,0,0,0,175398,175398,19832.466,January 2021
56112,WT,2021,January,0,0,0,27672,27672,3128.927,January 2021
56123,WT,2021,January,0,0,0,0,0,0,January 2021
56142,WT,2021,January,0,0,0,154057,154057,17419.324,January 2021
56153,WT,2021,January,0,0,0,20839,20839,2356.3,January 2021
56160,WT,2021,January,0,0,0,201792,201792,22816.8,January 2021
56162,WT,2021,January,0,0,0,58470,58470,6611.258,January 2021
56172,WT,2021,January,0,0,0,53095,53095,6003.475,January 2021
56173,WT,2021,January,0,0,0,422162,422162,47734.304,January 2021
56174,WT,2021,January,0,0,0,49499,49499,5596.878,January 2021
56195,WT,2021,January,0,0,0,35053,35053,3963.5,January 2021
56199,WT,2021,January,0,0,0,2301,2301,260.215,January 2021
56200,WT,2021,January,0,0,0,1150,1150,130.067,January 2021
56201,WT,2021,January,0,0,0,2301,2301,260.215,January 2021
56202,WT,2021,January,0,0,0,2301,2301,260.215,January 2021
56203,WT,2021,January,0,0,0,1150,1150,130.067,January 2021
56204,WT,2021,January,0,0,0,3171,3171,358.512,January 2021
56205,WT,2021,January,0,0,0,2805,2805,317.171,January 2021
56206,WT,2021,January,0,0,0,3003,3003,339.529,January 2021
56207,WT,2021,January,0,0,0,750,750,84.804,January 2021
56208,WT,2021,January,0,0,0,750,750,84.804,January 2021
56209,WT,2021,January,0,0,0,3448,3448,389.893,January 2021
56210,WT,2021,January,0,0,0,750,750,84.804,January 2021
56211,WT,2021,January,0,0,0,101578,101578,11485.56,January 2021
56212,WT,2021,January,0,0,0,269885,269885,30516.121,January 2021
56215,WT,2021,January,0,0,0,733,733,82.912,January 2021
56225,WT,2021,January,0,0,0,0,0,0,January 2021
56226,WT,2021,January,0,0,0,4868,4868,550.414,January 2021
56240,WT,2021,January,0,0,0,212176,212176,23990.968,January 2021
56251,WT,2021,January,0,0,0,402670,402670,45530.351,January 2021
56252,WT,2021,January,0,0,0,435668,435668,49261.451,January 2021
56255,WT,2021,January,0,0,0,249533,249533,28215,January 2021
56270,WT,2021,January,0,0,0,297172,297172,33601.512,January 2021
56271,WT,2021,January,0,0,0,22848,22848,2583.498,January 2021
56273,WT,2021,January,0,0,0,479921,479921,54265.102,January 2021
56275,WT,2021,January,0,0,0,1815,1815,205.192,January 2021
56276,WT,2021,January,0,0,0,872,872,98.587,January 2021
56290,WT,2021,January,0,0,0,293709,293709,33210,January 2021
56291,WT,2021,January,0,0,0,1677901,1677901,189722,January 2021
56293,WT,2021,January,0,0,0,209391,209391,23676.023,January 2021
56295,WT,2021,January,0,0,0,69546,69546,7863.663,January 2021
56296,WT,2021,January,0,0,0,244520,244520,27648.154,January 2021
56297,WT,2021,January,0,0,0,65196,65196,7371.748,January 2021
56299,WT,2021,January,0,0,0,60652,60652,6858,January 2021
56300,WT,2021,January,0,0,0,15928,15928,1801,January 2021
56301,WT,2021,January,0,0,0,141494,141494,15998.85,January 2021
56302,WT,2021,January,0,0,0,18468,18468,2088.171,January 2021
56303,WT,2021,January,0,0,0,229229,229229,25919.138,January 2021
56304,WT,2021,January,0,0,0,281257,281257,31802,January 2021
56307,WT,2021,January,0,0,0,28291,28291,3198.845,January 2021
56308,WT,2021,January,0,0,0,22271,22271,2518.205,January 2021
56311,WT,2021,January,0,0,0,357988,357988,40478.066,January 2021
56320,WT,2021,January,0,0,0,99878,99878,11293.348,January 2021
56322,WT,2021,January,0,0,0,307789,307789,34802,January 2021
56335,WT,2021,January,0,0,0,215023,215023,24312.908,January 2021
56336,WT,2021,January,0,0,0,43269,43269,4892.473,January 2021
56337,WT,2021,January,0,0,0,472933,472933,53475,January 2021
56338,WT,2021,January,0,0,0,400439,400439,45278,January 2021
56347,WT,2021,January,0,0,0,102563,102563,11596.897,January 2021
56351,WT,2021,January,0,0,0,160162,160162,18109.624,January 2021
56355,WT,2021,January,0,0,0,300244,300244,33948.927,January 2021
56357,WT,2021,January,0,0,0,133649,133649,15111.807,January 2021
56359,WT,2021,January,0,0,0,89906,89906,10165.739,January 2021
56360,WT,2021,January,0,0,0,99336,99336,11231.975,January 2021
56361,WT,2021,January,0,0,0,220525,220525,24935,January 2021
56362,WT,2021,January,0,0,0,217031,217031,24539.878,January 2021
56369,WT,2021,January,0,0,0,83985,83985,9496.239,January 2021
56371,WT,2021,January,0,0,0,477514,477514,53993,January 2021
56372,WT,2021,January,0,0,0,126126,126126,14261.174,January 2021
56376,WT,2021,January,0,0,0,1561,1561,176.535,January 2021
56377,WT,2021,January,0,0,0,437362,437362,49453,January 2021
56378,WT,2021,January,0,0,0,85681,85681,9688,January 2021
56379,WT,2021,January,0,0,0,293373,293373,33171.978,January 2021
56380,WT,2021,January,0,0,0,98063,98063,11088.04,January 2021
56383,WT,2021,January,0,0,0,81596,81596,9226.136,January 2021
56386,WT,2021,January,0,0,0,30556,30556,3454.985,January 2021
56391,WT,2021,January,0,0,0,188165,188165,21276,January 2021
56392,WT,2021,January,0,0,0,127164,127164,14378.535,January 2021
56394,WT,2021,January,0,0,0,198227,198227,22413.671,January 2021
56395,WT,2021,January,0,0,0,350727,350727,39657,January 2021
56399,WT,2021,January,0,0,0,47475,47475,5368,January 2021
56408,WT,2021,January,0,0,0,10509,10509,1188.315,January 2021
56409,WT,2021,January,0,0,0,3337,3337,377.341,January 2021
56410,WT,2021,January,0,0,0,2571,2571,290.732,January 2021
56411,WT,2021,January,0,0,0,3138,3138,354.826,January 2021
56412,WT,2021,January,0,0,0,3015,3015,340.938,January 2021
56413,WT,2021,January,0,0,0,2835,2835,320.544,January 2021
56414,WT,2021,January,0,0,0,6548,6548,740.403,January 2021
56415,WT,2021,January,0,0,0,9596,9596,1085.032,January 2021
56416,WT,2021,January,0,0,0,103054,103054,11652.443,January 2021
56424,WT,2021,January,0,0,0,18783,18783,2123.775,January 2021
56432,WT,2021,January,0,0,0,501441,501441,56698.412,January 2021
56433,WT,2021,January,0,0,0,99351,99351,11233.664,January 2021
56434,WT,2021,January,0,0,0,53919,53919,6096.718,January 2021
56435,WT,2021,January,0,0,0,29386,29386,3322.699,January 2021
56437,WT,2021,January,0,0,0,49424,49424,5588.414,January 2021
56439,WT,2021,January,0,0,0,34526,34526,3903.889,January 2021
56440,WT,2021,January,0,0,0,29671,29671,3354.925,January 2021
56441,WT,2021,January,0,0,0,55516,55516,6277.273,January 2021
56442,WT,2021,January,0,0,0,28774,28774,3253.509,January 2021
56443,WT,2021,January,0,0,0,27152,27152,3070.112,January 2021
56446,WT,2021,January,0,0,0,47079,47079,5323.236,January 2021
56447,WT,2021,January,0,0,0,0,0,0,January 2021
56448,WT,2021,January,0,0,0,106958,106958,12093.888,January 2021
56449,WT,2021,January,0,0,0,88511,88511,10008,January 2021
56450,WT,2021,January,0,0,0,76686,76686,8670.938,January 2021
56451,WT,2021,January,0,0,0,190411,190411,21530,January 2021
56457,WT,2021,January,0,0,0,143232,143232,16195.406,January 2021
56459,WT,2021,January,0,0,0,204936,204936,23172.315,January 2021
56460,WT,2021,January,0,0,0,135113,135113,15277.335,January 2021
56466,WT,2021,January,0,0,0,386294,386294,43678.624,January 2021
56468,WT,2021,January,0,0,0,223603,223603,25283,January 2021
56470,WT,2021,January,0,0,0,53196,53196,6014.88,January 2021
56479,WT,2021,January,0,0,0,43502,43502,4918.869,January 2021
56483,WT,2021,January,0,0,0,374888,374888,42389,January 2021
56484,WT,2021,January,0,0,0,408080,408080,46142,January 2021
56485,WT,2021,January,0,0,0,276295,276295,31241,January 2021
56487,WT,2021,January,0,0,0,304921,304921,34477.7,January 2021
56488,WT,2021,January,0,0,0,230891,230891,26107.087,January 2021
56493,WT,2021,January,0,0,0,20830,20830,2355.313,January 2021
56494,WT,2021,January,0,0,0,169714,169714,19189.686,January 2021
56495,WT,2021,January,0,0,0,681244,681244,77029,January 2021
56501,WT,2021,January,0,0,0,715931,715931,80951,January 2021
56506,WT,2021,January,0,0,0,184281,184281,20836.87,January 2021
56536,WT,2021,January,0,0,0,72114,72114,8154,January 2021
56537,WT,2021,January,0,0,0,73317,73317,8290,January 2021
56538,WT,2021,January,0,0,0,4599,4599,520,January 2021
56543,WT,2021,January,0,0,0,13162,13162,1488.261,January 2021
56544,WT,2021,January,0,0,0,19956,19956,2256.434,January 2021
56555,WT,2021,January,0,0,0,81665,81665,9234,January 2021
56560,WT,2021,January,0,0,0,16236,16236,1835.79,January 2021
56561,WT,2021,January,0,0,0,206,206,23.288,January 2021
56562,WT,2021,January,0,0,0,1172,1172,132.548,January 2021
56563,WT,2021,January,0,0,0,492294,492294,55664.164,January 2021
56570,WT,2021,January,0,0,0,5387,5387,609.12,January 2021
56573,WT,2021,January,0,0,0,134227,134227,15177.181,January 2021
56575,WT,2021,January,0,0,0,35452,35452,4008.628,January 2021
56577,WT,2021,January,0,0,0,4280,4280,483.952,January 2021
56580,WT,2021,January,0,0,0,0,0,0,January 2021
56581,WT,2021,January,0,0,0,0,0,0,January 2021
56586,WT,2021,January,0,0,0,1795,1795,202.949,January 2021
56587,WT,2021,January,0,0,0,1795,1795,202.949,January 2021
56588,WT,2021,January,0,0,0,1795,1795,202.949,January 2021
56589,WT,2021,January,0,0,0,1795,1795,202.949,January 2021
56590,WT,2021,January,0,0,0,1795,1795,202.949,January 2021
56591,WT,2021,January,0,0,0,21636,21636,2446.407,January 2021
56592,WT,2021,January,0,0,0,229182,229182,25913.889,January 2021
56593,WT,2021,January,0,0,0,381716,381716,43161,January 2021
56594,WT,2021,January,0,0,0,45745,45745,5172.48,January 2021
56602,WT,2021,January,0,0,0,1123,1123,127.017,January 2021
56605,WT,2021,January,0,0,0,352893,352893,39901.973,January 2021
56607,WT,2021,January,0,0,0,232766,232766,26319.08,January 2021
56608,WT,2021,January,0,0,0,277234,277234,31347.16,January 2021
56613,WT,2021,January,0,0,0,382698,382698,43272,January 2021
56614,WT,2021,January,0,0,0,417127,417127,47165,January 2021
56617,WT,2021,January,0,0,0,272546,272546,30817,January 2021
56618,WT,2021,January,0,0,0,87528,87528,9896.86,January 2021
56619,WT,2021,January,0,0,0,82056,82056,9278.126,January 2021
56620,WT,2021,January,0,0,0,101472,101472,11473.571,January 2021
56621,WT,2021,January,0,0,0,70121,70121,7928.645,January 2021
56622,WT,2021,January,0,0,0,130187,130187,14720.424,January 2021
56623,WT,2021,January,0,0,0,116553,116553,13178.748,January 2021
56626,WT,2021,January,0,0,0,3416,3416,386.284,January 2021
56630,WT,2021,January,0,0,0,38283,38283,4328.669,January 2021
56633,WT,2021,January,0,0,0,29103,29103,3290.717,January 2021
56634,WT,2021,January,0,0,0,67907,67907,7678.337,January 2021
56635,WT,2021,January,0,0,0,76485,76485,8648.257,January 2021
56636,WT,2021,January,0,0,0,33669,33669,3807,January 2021
56637,WT,2021,January,0,0,0,34934,34934,3950,January 2021
56638,WT,2021,January,0,0,0,236044,236044,26689.778,January 2021
56640,WT,2021,January,0,0,0,306587,306587,34666.109,January 2021
56644,WT,2021,January,0,0,0,164405,164405,18589.472,January 2021
56645,WT,2021,January,0,0,0,300174,300174,33941,January 2021
56647,WT,2021,January,0,0,0,84575,84575,9563,January 2021
