Plant Code,Year,Nameplate Capacity (MW)
50534,2014,18.0
50534,2015,18.0
50535,2013,29.9
50535,2014,29.9
50535,2015,29.9
50535,2016,29.9
50535,2017,29.9
50535,2018,29.9
50535,2019,29.9
50535,2020,29.9
50535,2021,29.9
50536,2013,76.9
50536,2014,76.9
50536,2015,76.9
50536,2016,76.9
50536,2017,76.9
50536,2018,76.9
50536,2019,76.9
50536,2021,60.2
50552,2013,39.7
50552,2014,39.7
50552,2015,39.7
50552,2016,39.7
50552,2017,39.7
50552,2018,38.9
50552,2019,38.9
50552,2020,38.9
50552,2021,38.9
50553,2013,21.1
50553,2014,20.0
50553,2015,20.0
50553,2016,20.0
50553,2017,20.0
50553,2018,20.0
50553,2019,20.0
50553,2020,20.0
50553,2021,20.0
50690,2013,43.4
50690,2014,43.4
50690,2015,43.4
50690,2016,43.4
50690,2017,43.4
50690,2018,43.4
50690,2019,43.4
50690,2020,43.4
50690,2021,43.4
50712,2013,332.5
50712,2014,332.5
50754,2013,34.5
50754,2014,34.5
50754,2015,34.5
50754,2016,34.5
50754,2017,34.5
50754,2018,34.5
50754,2019,34.5
50754,2020,34.5
50754,2021,34.5
50818,2013,10.5
50818,2014,10.5
50818,2015,10.5
50820,2013,4.2
50820,2014,4.2
50820,2015,3.0
50820,2016,3.0
50820,2017,3.0
50820,2018,3.0
50820,2019,3.0
50820,2020,3.0
50820,2021,3.0
50821,2013,30.0
50821,2014,30.0
50821,2015,30.0
50821,2016,30.0
50821,2017,30.0
50821,2018,48.0
50821,2019,48.0
50821,2020,88.5
50821,2021,88.5
50822,2013,25.0
50822,2014,25.0
50822,2015,25.0
50822,2016,25.0
50822,2017,25.0
50823,2013,30.0
50823,2014,30.0
50823,2015,30.0
50823,2016,30.0
50823,2017,30.0
50823,2018,40.5
50823,2019,40.5
52142,2013,29.0
52142,2014,29.0
52142,2015,29.0
52142,2016,29.0
52142,2017,29.0
52142,2018,29.0
52142,2019,29.0
52142,2020,75.0
52142,2021,75.0
52143,2013,23.5
52143,2014,23.5
52143,2015,23.5
52143,2016,23.5
52143,2017,23.5
52143,2018,23.5
52143,2019,23.5
52144,2013,22.5
52144,2014,22.5
52144,2015,22.5
52144,2016,22.5
52144,2017,22.5
52144,2018,22.5
52144,2019,22.5
52160,2013,22.0
52160,2014,22.0
52160,2015,22.0
52160,2016,22.0
52160,2017,22.0
52160,2018,22.0
52160,2019,22.0
52161,2013,18.4
52161,2014,18.4
52161,2015,18.4
52161,2016,18.4
52161,2017,18.4
52161,2018,18.4
52161,2019,18.4
52162,2013,14.1
52162,2014,14.1
52162,2015,14.1
52162,2016,14.1
52162,2017,14.1
52162,2018,14.1
52162,2019,14.1
52162,2020,14.1
52162,2021,21.3
52163,2013,21.2
52163,2014,21.2
52163,2015,21.2
52163,2016,21.2
52163,2017,21.2
52163,2018,21.2
52163,2019,21.2
52163,2020,21.2
52163,2021,25.2
52165,2013,1.8
52165,2014,1.8
52165,2015,1.8
52165,2016,1.8
52165,2017,1.8
52165,2018,1.8
52165,2019,1.8
54258,2013,16.0
54258,2014,16.0
54258,2015,16.0
54258,2016,16.0
54298,2013,7.5
54298,2014,7.5
54298,2015,7.5
54298,2016,7.5
54298,2017,7.5
54298,2018,7.5
54298,2019,7.5
54298,2020,7.5
54298,2021,7.5
54299,2013,3.0
54299,2014,3.0
54299,2015,3.0
54299,2016,3.0
54299,2017,3.0
54299,2018,3.0
54299,2019,3.0
54299,2020,3.0
54299,2021,3.0
54300,2013,4.6
54300,2014,4.6
54300,2015,4.6
54300,2016,4.6
54300,2017,4.6
54300,2018,4.6
54300,2019,4.6
54300,2020,4.6
54300,2021,4.6
54453,2013,16.2
54453,2014,16.2
54453,2015,15.5
54453,2016,15.5
54453,2017,15.5
54453,2018,15.5
54453,2019,15.5
54453,2020,15.5
54453,2021,15.5
54454,2013,49.5
54454,2014,49.5
54454,2015,49.5
54454,2016,49.5
54454,2017,49.5
54454,2018,49.5
54454,2019,49.5
54454,2020,49.5
54454,2021,49.5
54647,2013,28.7
54647,2014,28.7
54647,2015,28.7
54647,2016,28.7
54647,2017,28.7
54647,2018,28.7
54647,2019,28.7
54647,2020,28.7
54647,2021,28.7
54650,2013,18.7
54650,2014,18.7
54650,2015,18.7
54650,2016,18.7
54650,2017,18.7
54650,2018,18.7
54650,2019,18.7
54650,2020,18.7
54681,2013,7.3
54681,2014,7.3
54681,2015,7.3
54681,2016,7.3
54681,2017,7.3
54681,2018,7.3
54681,2019,7.3
54682,2013,5.5
54682,2014,5.5
54682,2015,5.5
54682,2016,5.5
54682,2017,5.5
54682,2018,5.5
54682,2019,5.5
54685,2013,11.7
54685,2014,11.7
54685,2015,11.7
54685,2016,11.7
54685,2017,11.7
54685,2018,11.7
54685,2019,11.7
54686,2013,27.1
54686,2014,27.1
54686,2015,27.1
54686,2017,27.1
54686,2018,27.1
54686,2019,27.1
54686,2020,27.1
54686,2021,27.1
54687,2013,15.0
54687,2014,15.0
54750,2013,6.9
54750,2014,6.9
54750,2015,6.5
54750,2016,6.5
54750,2017,6.5
54750,2018,6.5
54750,2019,6.5
54750,2020,6.5
54750,2021,6.5
54793,2013,113.9
54793,2014,113.9
54793,2015,113.9
54793,2016,113.9
54793,2017,113.9
54793,2018,113.9
54793,2019,113.9
54793,2020,113.9
54793,2021,113.9
54794,2013,21.9
54794,2014,21.9
54794,2015,21.9
54909,2013,21.9
54909,2014,21.9
54909,2015,21.9
54909,2016,21.9
54909,2017,21.9
54909,2018,21.9
54909,2019,21.9
54909,2020,21.9
54909,2021,21.9
54931,2013,46.8
54931,2014,46.8
54931,2015,46.8
54931,2016,46.8
54931,2017,46.8
54931,2018,46.8
54931,2019,46.8
54931,2020,46.8
54931,2021,46.8
54966,2013,30.0
54979,2013,34.3
54979,2014,34.3
54979,2015,34.3
54979,2016,34.3
54979,2017,34.3
54979,2018,34.3
54979,2019,34.3
54979,2020,34.3
54979,2021,34.3
55125,2013,25.0
55125,2014,25.0
55125,2015,25.0
55125,2016,25.0
55125,2017,25.0
55125,2018,25.0
55125,2019,25.0
55125,2020,25.0
55125,2021,25.0
55203,2013,5.2
55203,2014,5.2
55203,2015,5.2
55203,2016,5.2
55203,2017,5.2
